rep,id,b,Dq,E0,A0
10,Centre,2.90462988872851,4.92430479311017,372.228312538719,83.8736118860432
1,BFC,2.06178174128173,0.918095093588375,447.510134142155,543.75392703622
2,BFC,2.1519928768849,0.721066154321387,509.514531524588,441.602194100866
3,BFC,2.167959344814,0.763766211157539,529.874707308316,401.495419407844
4,BFC,2.17340072463839,0.742580187258424,234.259531566743,542.4323965511
5,BFC,2.15338704956927,0.907882933037141,462.157918951544,404.98165575153
6,BFC,2.04764164168496,1.06914858541836,171.964450143523,765.62034869069
7,BFC,2.1844648913145,0.704138792591804,476.875857038795,406.64277573964
8,BFC,2.16721462924437,0.909576993948621,346.211418530438,506.125574172251
9,BFC,2.23191745009607,0.567577306122105,305.630701226995,449.272193527491
10,BFC,2.08725965807672,0.908995725516104,279.404135292235,653.38612407534
1,Normandie,2.41664416504737,6.59578663411393,4232.05046123127,303.424203657673
2,Normandie,2.4432699895966,4.17945115804036,4554.88553955816,35.2441746009329
3,Normandie,2.59438467388646,4.54447176927209,3765.37812702104,144.088391700779
4,Normandie,2.44520339575544,4.70683608194283,4446.90678147531,233.04503633297
5,Normandie,2.57473330115334,3.80592434029759,3663.80043315366,123.409911801267
6,Normandie,2.33105807948136,4.02163751814956,4363.6365369572,263.241531584479
7,Normandie,2.5518863681868,5.37893012154237,4463.03885439677,11.847556710623
8,Normandie,2.27299404729117,5.23237265628129,5303.43973518692,28.3121363071281
9,Normandie,2.37179695081212,5.12865539485843,4826.01247592201,222.866713932603
10,Normandie,2.52631789798394,4.07490276418878,3536.21498478375,437.719575932906
1,HDF,2.18731909177419,3.28875257104063,2746.72276414878,61.5359558415556
2,HDF,2.31202667250935,2.72327235449933,2166.82397307105,49.0811295193775
3,HDF,2.26613989213319,2.78382192816367,2275.6976155284,71.9179163765098
4,HDF,2.26127700339975,2.52021374793613,2387.17471149191,68.1723011586687
5,HDF,2.23111506002639,2.96643603337036,2155.83806614517,229.069993434639
6,HDF,2.28819125997951,2.81897113832317,2218.97279570294,26.334034685685
7,HDF,2.29201636634468,3.06862550070639,2326.75824349195,30.2807067003438
8,HDF,2.32367449582824,2.5287867217936,2244.78490242348,19.9052533356666
9,HDF,2.20679665141999,3.03401839902611,2248.0061514882,226.880601180062
10,HDF,2.29394094509109,2.63623712179902,2318.50865392249,10.2333493577627
1,GrandEst,2.24957174981962,2.32846129121522,591.336252150465,1562.8375650628
