id	nameid	date	obs	popsize	epidemicsStart	day	lockdown	timeSinceConf	timeSinceDeConf	rsent	initH	initIref	timelock	obs_id
REG-24	Centre	2020-03-23	70	2559073	2020-03-05	18	1	7	0	0.028274001	6	4	12	1
REG-24	Centre	2020-03-24	89	2559073	2020-03-05	19	1	8	0	0.028274001	6	4	12	1
REG-24	Centre	2020-03-05	0	2559073	2020-03-05	0	0	0	0	0.028274001	6	4	12	2
REG-24	Centre	2020-03-06	2	2559073	2020-03-05	1	0	0	0	0.028274001	6	4	12	2
REG-24	Centre	2020-03-07	1	2559073	2020-03-05	2	0	0	0	0.028274001	6	4	12	2
REG-24	Centre	2020-03-08	1	2559073	2020-03-05	3	0	0	0	0.028274001	6	4	12	2
REG-24	Centre	2020-03-09	3	2559073	2020-03-05	4	0	0	0	0.028274001	6	4	12	2
REG-24	Centre	2020-03-10	5	2559073	2020-03-05	5	0	0	0	0.028274001	6	4	12	2
REG-24	Centre	2020-03-11	6	2559073	2020-03-05	6	0	0	0	0.028274001	6	4	12	2
REG-24	Centre	2020-03-12	9	2559073	2020-03-05	7	0	0	0	0.028274001	6	4	12	2
REG-24	Centre	2020-03-13	10	2559073	2020-03-05	8	0	0	0	0.028274001	6	4	12	2
REG-24	Centre	2020-03-14	7	2559073	2020-03-05	9	0	0	0	0.028274001	6	4	12	2
REG-24	Centre	2020-03-15	2	2559073	2020-03-05	10	0	0	0	0.028274001	6	4	12	2
REG-24	Centre	2020-03-16	10	2559073	2020-03-05	11	0	0	0	0.028274001	6	4	12	2
REG-24	Centre	2020-03-17	21	2559073	2020-03-05	12	1	1	0	0.028274001	6	4	12	2
REG-24	Centre	2020-03-18	24	2559073	2020-03-05	13	1	2	0	0.028274001	6	4	12	2
REG-24	Centre	2020-03-19	32	2559073	2020-03-05	14	1	3	0	0.028274001	6	4	12	2
REG-24	Centre	2020-03-20	27	2559073	2020-03-05	15	1	4	0	0.028274001	6	4	12	2
REG-24	Centre	2020-03-21	32	2559073	2020-03-05	16	1	5	0	0.028274001	6	4	12	2
REG-24	Centre	2020-03-22	34	2559073	2020-03-05	17	1	6	0	0.028274001	6	4	12	2
REG-24	Centre	2020-03-23	43	2559073	2020-03-05	18	1	7	0	0.028274001	6	4	12	2
REG-24	Centre	2020-03-24	63	2559073	2020-03-05	19	1	8	0	0.028274001	6	4	12	2
REG-24	Centre	2020-03-25	64	2559073	2020-03-05	20	1	9	0	0.028274001	6	4	12	2
REG-24	Centre	2020-03-26	78	2559073	2020-03-05	21	1	10	0	0.028274001	6	4	12	2
REG-24	Centre	2020-03-27	114	2559073	2020-03-05	22	1	11	0	0.028274001	6	4	12	2
REG-24	Centre	2020-03-28	77	2559073	2020-03-05	23	1	12	0	0.028274001	6	4	12	2
REG-24	Centre	2020-03-29	60	2559073	2020-03-05	24	1	13	0	0.028274001	6	4	12	2
REG-24	Centre	2020-03-30	93	2559073	2020-03-05	25	1	14	0	0.028274001	6	4	12	2
REG-24	Centre	2020-03-31	109	2559073	2020-03-05	26	1	15	0	0.028274001	6	4	12	2
REG-24	Centre	2020-04-01	96	2559073	2020-03-05	27	1	16	0	0.028274001	6	4	12	2
REG-24	Centre	2020-04-02	110	2559073	2020-03-05	28	1	17	0	0.028274001	6	4	12	2
REG-24	Centre	2020-04-03	107	2559073	2020-03-05	29	1	18	0	0.028274001	6	4	12	2
REG-24	Centre	2020-04-04	80	2559073	2020-03-05	30	1	19	0	0.028274001	6	4	12	2
REG-24	Centre	2020-04-05	37	2559073	2020-03-05	31	1	20	0	0.028274001	6	4	12	2
REG-24	Centre	2020-04-06	76	2559073	2020-03-05	32	1	21	0	0.028274001	6	4	12	2
REG-24	Centre	2020-04-07	79	2559073	2020-03-05	33	1	22	0	0.028274001	6	4	12	2
REG-24	Centre	2020-04-08	86	2559073	2020-03-05	34	1	23	0	0.028274001	6	4	12	2
REG-24	Centre	2020-04-09	77	2559073	2020-03-05	35	1	24	0	0.028274001	6	4	12	2
REG-24	Centre	2020-04-10	89	2559073	2020-03-05	36	1	25	0	0.028274001	6	4	12	2
REG-24	Centre	2020-04-11	80	2559073	2020-03-05	37	1	26	0	0.028274001	6	4	12	2
REG-24	Centre	2020-04-12	45	2559073	2020-03-05	38	1	27	0	0.028274001	6	4	12	2
REG-24	Centre	2020-04-13	34	2559073	2020-03-05	39	1	28	0	0.028274001	6	4	12	2
REG-24	Centre	2020-04-14	82	2559073	2020-03-05	40	1	29	0	0.028274001	6	4	12	2
REG-24	Centre	2020-04-15	57	2559073	2020-03-05	41	1	30	0	0.028274001	6	4	12	2
REG-24	Centre	2020-04-16	49	2559073	2020-03-05	42	1	31	0	0.028274001	6	4	12	2
REG-24	Centre	2020-04-17	40	2559073	2020-03-05	43	1	32	0	0.028274001	6	4	12	2
REG-24	Centre	2020-04-18	33	2559073	2020-03-05	44	1	33	0	0.028274001	6	4	12	2
REG-24	Centre	2020-04-19	28	2559073	2020-03-05	45	1	34	0	0.028274001	6	4	12	2
REG-24	Centre	2020-04-20	41	2559073	2020-03-05	46	1	35	0	0.028274001	6	4	12	2
REG-24	Centre	2020-04-21	54	2559073	2020-03-05	47	1	36	0	0.028274001	6	4	12	2
REG-24	Centre	2020-04-22	32	2559073	2020-03-05	48	1	37	0	0.028274001	6	4	12	2
REG-24	Centre	2020-04-23	37	2559073	2020-03-05	49	1	38	0	0.028274001	6	4	12	2
REG-24	Centre	2020-04-24	39	2559073	2020-03-05	50	1	39	0	0.028274001	6	4	12	2
REG-24	Centre	2020-04-25	30	2559073	2020-03-05	51	1	40	0	0.028274001	6	4	12	2
REG-24	Centre	2020-04-26	29	2559073	2020-03-05	52	1	41	0	0.028274001	6	4	12	2
REG-24	Centre	2020-04-27	35	2559073	2020-03-05	53	1	42	0	0.028274001	6	4	12	2
REG-24	Centre	2020-04-28	40	2559073	2020-03-05	54	1	43	0	0.028274001	6	4	12	2
REG-24	Centre	2020-04-29	28	2559073	2020-03-05	55	1	44	0	0.028274001	6	4	12	2
REG-24	Centre	2020-04-30	33	2559073	2020-03-05	56	1	45	0	0.028274001	6	4	12	2
REG-24	Centre	2020-05-01	20	2559073	2020-03-05	57	1	46	0	0.028274001	6	4	12	2
REG-24	Centre	2020-05-02	20	2559073	2020-03-05	58	1	47	0	0.028274001	6	4	12	2
REG-24	Centre	2020-05-03	11	2559073	2020-03-05	59	1	48	0	0.028274001	6	4	12	2
REG-24	Centre	2020-05-04	22	2559073	2020-03-05	60	1	49	0	0.028274001	6	4	12	2
REG-24	Centre	2020-05-05	21	2559073	2020-03-05	61	1	50	0	0.028274001	6	4	12	2
REG-24	Centre	2020-05-06	9	2559073	2020-03-05	62	1	51	0	0.028274001	6	4	12	2
REG-24	Centre	2020-05-07	21	2559073	2020-03-05	63	1	52	0	0.028274001	6	4	12	2
REG-24	Centre	2020-05-08	9	2559073	2020-03-05	64	1	53	0	0.028274001	6	4	12	2
REG-24	Centre	2020-05-09	14	2559073	2020-03-05	65	1	54	0	0.028274001	6	4	12	2
REG-24	Centre	2020-05-10	7	2559073	2020-03-05	66	1	55	0	0.028274001	6	4	12	2
REG-24	Centre	2020-05-11	13	2559073	2020-03-05	67	0	56	1	0.028274001	6	4	12	2
REG-27	BFC	2020-03-02	4	2783039	2020-03-02	0	0	0	0	0.070075931	3	9	15	1
REG-27	BFC	2020-03-03	5	2783039	2020-03-02	1	0	0	0	0.070075931	3	9	15	1
REG-27	BFC	2020-03-04	3	2783039	2020-03-02	2	0	0	0	0.070075931	3	9	15	1
REG-27	BFC	2020-03-05	23	2783039	2020-03-02	3	0	0	0	0.070075931	3	9	15	1
REG-27	BFC	2020-03-06	39	2783039	2020-03-02	4	0	0	0	0.070075931	3	9	15	1
REG-27	BFC	2020-03-07	51	2783039	2020-03-02	5	0	0	0	0.070075931	3	9	15	1
REG-27	BFC	2020-03-08	0	2783039	2020-03-02	6	0	0	0	0.070075931	3	9	15	1
REG-27	BFC	2020-03-09	0	2783039	2020-03-02	7	0	0	0	0.070075931	3	9	15	1
REG-27	BFC	2020-03-10	17	2783039	2020-03-02	8	0	0	0	0.070075931	3	9	15	1
REG-27	BFC	2020-03-11	9	2783039	2020-03-02	9	0	0	0	0.070075931	3	9	15	1
REG-27	BFC	2020-03-12	64	2783039	2020-03-02	10	0	0	0	0.070075931	3	9	15	1
REG-27	BFC	2020-03-13	53	2783039	2020-03-02	11	0	0	0	0.070075931	3	9	15	1
REG-27	BFC	2020-03-14	67	2783039	2020-03-02	12	0	0	0	0.070075931	3	9	15	1
REG-27	BFC	2020-03-15	73	2783039	2020-03-02	13	0	0	0	0.070075931	3	9	15	1
REG-27	BFC	2020-03-16	95	2783039	2020-03-02	14	0	0	0	0.070075931	3	9	15	1
REG-27	BFC	2020-03-17	42	2783039	2020-03-02	15	1	1	0	0.070075931	3	9	15	1
REG-27	BFC	2020-03-18	44	2783039	2020-03-02	16	1	2	0	0.070075931	3	9	15	1
REG-27	BFC	2020-03-19	103	2783039	2020-03-02	17	1	3	0	0.070075931	3	9	15	1
REG-27	BFC	2020-03-20	74	2783039	2020-03-02	18	1	4	0	0.070075931	3	9	15	1
REG-27	BFC	2020-03-21	133	2783039	2020-03-02	19	1	5	0	0.070075931	3	9	15	1
REG-27	BFC	2020-03-22	275	2783039	2020-03-02	20	1	6	0	0.070075931	3	9	15	1
