rep,id,eta_b1,eta_Dq,eta_E0,eta_A0,eta_betat1
3,Normandie,0.0182150106566414,1.3060441271649,0.9712175673116,-0.4586180899104,0
4,Normandie,0.0729569834708121,1.14403061914293,0.832285094079439,-1.84132715437312,0
5,Normandie,0.0394222805130329,1.12900025823554,0.751810313743937,0.321651020292491,0
6,Normandie,0.0378498481504906,1.42851062827382,0.936346458589805,-1.41983647447777,0
7,Normandie,0.0544482277648039,1.26319535477799,0.926621888593732,-1.12991623448929,0
8,Normandie,0.00561780410092623,1.33310742475585,0.742583839386249,1.01847823210339,0
9,Normandie,0.0776705059663819,1.28440314409546,0.849512483516802,-0.775101396475069,0
10,Normandie,0.0525758902438537,1.29411043927794,0.842079926836688,-0.177494087938068,0
1,HDF,-0.0612539793980022,0.829864934688135,0.424078710797017,-0.148901633722407,0
2,HDF,-0.0662564284561338,0.818732066164099,0.5850656614536,-1.62048041685829,0
3,HDF,-0.0413421525487506,0.670325705078036,0.470239211470481,-1.28055861467482,0
4,HDF,-0.0580326952383792,0.722011925464766,0.592076372350626,-2.2397693870044,0
5,HDF,-0.0598348191343349,0.746672772673441,0.577876391619934,-2.38884524028724,0
6,HDF,-0.0603705297665084,0.837354413592688,0.571614814547845,-1.46003758930508,0
7,HDF,-0.058176444125981,0.900078792128629,0.58292452258421,-1.43623313785993,0
8,HDF,-0.040812566856684,0.848560652860951,0.514841169901195,-2.41534739774292,0
9,HDF,-0.0334841696524701,0.724452634471088,0.425496053259508,-0.735105614716836,0
10,HDF,-0.0296884076284085,0.781225958830832,0.384965408339102,-0.916154583711302,0
1,GrandEst,-0.0367305312220485,0.7394631913109,-0.644595272431426,2.07469856763608,0
2,GrandEst,-0.0189184433400274,0.636262641940201,-0.471126925164991,1.90092126598954,0
3,GrandEst,-0.0243268949918192,0.719249787061056,-0.286462215274596,1.88391762469554,0
4,GrandEst,-0.0326490994182293,0.674942508508699,-0.841928139357779,2.08731217119533,0
5,GrandEst,-0.0261904142430749,0.770748159571144,-1.06663519420123,2.12166781227943,0
6,GrandEst,-0.0434865305332112,0.683162478053071,-0.826945646030815,2.14053319311712,0
7,GrandEst,-0.0326830498166161,0.681226640944971,-0.115415138711811,1.85082039216555,0
8,GrandEst,-0.0290442087984198,0.673399166971273,0.132854006618449,1.72229216072223,0
9,GrandEst,-0.0270545200277535,0.640440469997426,-0.837687298612388,2.05626788861055,0
10,GrandEst,-0.0330245060582461,0.666183444455272,-0.655369666190024,2.03414588752355,0
1,PaysLoire,0.00724229739227768,-4.19130324913786,0.477872782276544,-1.31838330649808,0
