rep,id,b1,Dq,E0,A0,betat1
1,GrandEst,0.806343695935886,2.13051913764531,746.299406558209,1222.22111938855,-0.380531476991718
2,GrandEst,0.797893673305868,2.2039714671516,711.82706450894,1272.69153145445,-0.341315289113045
3,GrandEst,0.755651910511785,2.27237347087816,525.536042469845,1797.42935950332,-0.293135096915198
4,GrandEst,0.755438618194838,2.40836562246038,510.415880257823,1783.24322952135,-0.238966506695708
5,GrandEst,0.780782103138816,2.23705866495869,651.32270437938,1444.18968462908,-0.32818853010807
6,GrandEst,0.781938679995272,2.36209692387181,1076.670254246,1253.67073672444,-0.320417008148622
7,GrandEst,0.774842742848422,2.27913407703813,740.079244077176,1477.02675657859,-0.307012638176828
8,GrandEst,0.750472400286683,2.36450724603294,875.805931041253,1633.79206728808,-0.243237711771783
9,GrandEst,0.755800088038842,2.19990757440303,635.22903350225,1599.10738167856,-0.241302646836074
10,GrandEst,0.786839662142889,2.33307533787498,911.673198275796,1267.68821454447,-0.306909161157761
1,PaysLoire,0.573245553018398,0.0544257057655232,1465.45263532324,1552.78894835468,0.354300614317698
2,PaysLoire,0.725719968830909,0.0191265170820578,1811.17970584886,354.000249589139,-0.112663636420208
3,PaysLoire,0.680562741725181,0.0742915425116668,1911.35749015529,605.346899978669,0.0440107033451471
4,PaysLoire,0.647362729199972,0.0735092752414726,2650.53153465808,426.904336789608,0.0933260136337864
5,PaysLoire,0.720142671131761,0.0184246431745606,2435.73211427121,59.0547882282161,-0.132096513675769
6,PaysLoire,0.651696370198945,0.0255965898279392,1344.54762594203,973.175402418672,0.160527245906953
7,PaysLoire,0.688662984930534,0.0418467726932349,1736.07565139529,597.578138865696,0.0287530595064896
8,PaysLoire,0.738049287983733,0.0601776299970232,1299.59515658199,667.156751720169,-0.124540518353152
9,PaysLoire,0.674003451059867,0.0336961325948422,2118.40344880925,440.238504536781,0.0328571821869158
10,PaysLoire,0.738466880208419,0.0186066514354476,1796.14155973093,445.498591695134,-0.151339198591305
1,Bretagne,0.653480023133421,1.77615696983472,1482.26926492826,63.9259041012305,-0.1402977552846
2,Bretagne,0.604422078159181,2.19523937107919,1434.53741232866,351.628437250356,-0.0554809275021719
3,Bretagne,0.58915942508245,1.56622400308771,1496.81821096818,242.902278275354,0.164713256282652
4,Bretagne,0.616287413652481,1.89068627049782,1567.00419378817,148.066478127014,-0.0300021968599149
5,Bretagne,0.565679728139063,1.437093973299,1584.21157919231,279.533900703065,0.136938912331879
6,Bretagne,0.624475302260392,1.59945472521837,1374.47874170869,211.140630396812,-0.0550874533036532
7,Bretagne,0.589304939413102,2.01340190772678,1640.54102214773,165.145457819125,0.0786190033097633
8,Bretagne,0.58106633284303,2.00587189798584,1701.72239266399,284.021684110578,0.00292252523718779
9,Bretagne,0.645278537036241,1.872012990959,1041.30522106028,273.205310229454,-0.0722122062973841
10,Bretagne,0.557323793745595,2.00788188797019,1748.10800855603,341.503253901547,0.177635248344145
1,Occitanie,0.697236358859911,0.905906668157851,1164.28529430091,414.993647425579,-0.216466048072094
2,Occitanie,0.765172399401365,0.93763580379675,1197.19622653065,178.344115112816,-0.377680104358486
3,Occitanie,0.727693512000682,0.961781861600957,1415.82513282398,222.703684125367,-0.300899301082888
4,Occitanie,0.737285848986778,0.997239677156211,1173.17819298126,317.000358350424,-0.262741923288309
5,Occitanie,0.712951370491486,0.924777681229401,1050.85452085832,465.491179746406,-0.284976123884484
6,Occitanie,0.73160763233257,1.14948633527057,745.783623566144,576.379982205304,-0.338828100430761
7,Occitanie,0.782992862350456,1.08626996922339,954.033223952549,284.152214275828,-0.403295141368013
8,Occitanie,0.731548914606121,0.981015106351364,1565.29578413165,165.19502149881,-0.3138299705523
9,Occitanie,0.719872914789496,0.770236090997427,1206.56845481363,312.781414067684,-0.216973742341017
10,Occitanie,0.702443026049196,1.22101641272442,1315.28141187033,383.474959839489,-0.228783298057857
1,PACA,0.754182534552465,0.85817346252334,614.718949859924,555.644205631748,-0.202961006132815
2,PACA,0.747169397480468,1.03745476313241,1018.49466683093,451.897020921779,-0.225912478075117
3,PACA,0.752377773481779,0.865351122838487,905.955096696439,436.609846422419,-0.203517433034888
4,PACA,0.705665894921812,0.953617897270413,844.187569415828,647.154385035898,-0.0628323056560792
5,PACA,0.747655649395974,0.983581094710016,1411.78364831596,219.814598757378,-0.173017327199418
6,PACA,0.69234989296145,0.986850185840988,761.148551240209,722.031118516736,-0.00496493069119954
7,PACA,0.752010987192734,0.787164710150436,1232.34988576261,230.39633447699,-0.201064585572793
8,PACA,0.751631469020741,0.841217687700742,532.52812484634,624.163293041716,-0.1513529474531
9,PACA,0.696599763557012,1.05669450614374,770.017775645708,736.611440242679,-0.0343611581731843
