rep,id,eta_b1,eta_Dq,eta_E0,eta_A0,eta_betat1
4,Normandie,-0.159682749112731,1.21973746589403,1.10278585679274,-1.83056716422806,0.354238970873293
5,Normandie,0.006654352133205,1.41470290273197,1.0622608299379,-1.39113259538919,0.0152212165982565
6,Normandie,-0.104840042101189,1.27580563276371,1.13068706922339,-1.52603990472184,0.244816277581278
7,Normandie,-0.164390860282669,1.18529979496898,1.20426266243983,-0.365123014399838,0.303021062198602
8,Normandie,-0.193682757713613,1.41036691582819,1.10310905392811,0.185102177011458,0.331340313154162
9,Normandie,-0.11915063846448,1.3196963509908,1.13662970306628,-0.802888309069773,0.19999224062097
10,Normandie,-0.213993718732909,1.23544252687951,1.0156487606476,0.36901829645,0.37438656416236
1,HDF,-0.350069566080761,0.59602592498483,1.01292747028186,0.636056132748408,0.675640551565982
2,HDF,-0.30130353642644,0.549821659889879,1.10804574411371,-0.791220265520334,0.611868421513685
3,HDF,-0.20467724278793,0.731305003159316,0.96841976178762,-0.897305657312626,0.43413767940048
4,HDF,-0.339305150215915,0.758820967655672,1.2098180630451,-0.519266296447243,0.674500987868849
5,HDF,-0.306218981944905,0.547874252261699,1.16568407922165,-1.6728387284114,0.602864035975916
6,HDF,-0.32899120226127,0.651667891129287,1.15748357104912,0.0400619857618328,0.602012430966278
7,HDF,-0.326653012843561,0.608054272374799,1.18917998741562,-0.562441322580524,0.624911233870053
8,HDF,-0.279758345896576,0.701413104536082,1.12351783036785,-0.829983070474097,0.543341302333039
9,HDF,-0.297279297898411,0.835829239406122,1.14971477722648,-0.59882737375002,0.597771305628958
10,HDF,-0.277609934058504,0.591302288701894,1.05627982050153,-0.855060034998937,0.552740575923254
1,GrandEst,0.0840885043138736,0.67337388880628,-0.466144192856348,1.22320394393163,-0.242247538678659
2,GrandEst,0.0735537780435141,0.7072691574558,-0.513436066830251,1.26366812478227,-0.203031350799986
3,GrandEst,0.019159265257917,0.737833079325356,-0.816852286847188,1.60889166132643,-0.154851158602139
4,GrandEst,0.0188769627560989,0.795956564677902,-0.846045216910394,1.60096789624965,-0.100682568382649
5,GrandEst,0.0518745445937532,0.722170119187781,-0.602265836775772,1.39008254317839,-0.189904591795011
6,GrandEst,0.0533547540849324,0.77655796378275,-0.0996426021547073,1.24860998812626,-0.182133069835563
7,GrandEst,0.0442385272526627,0.740803792242224,-0.47451379475914,1.41256526966342,-0.168728699863769
8,GrandEst,0.0122813062387564,0.777577859794101,-0.306126535329217,1.51343788532704,-0.104953773458724
9,GrandEst,0.0193553383421746,0.705423560034176,-0.627285445271731,1.49197973790664,-0.103018708523015
10,GrandEst,0.0596029256211499,0.764195496979203,-0.265989471181755,1.25972908898485,-0.168625222844702
1,PaysLoire,-0.257107404840395,-2.99391049208667,0.208648378007156,1.46258678639887,0.492584552630757
2,PaysLoire,-0.0212573465047524,-4.03967136567611,0.420462621321723,-0.0159235100061967,0.0256203018928503
3,PaysLoire,-0.085501551766904,-2.68274995046433,0.474297934608487,0.520580553907231,0.182294641658206
4,PaysLoire,-0.135514799194829,-2.69333547477617,0.801244416168464,0.171338824313581,0.231609951946845
5,PaysLoire,-0.0289722223277277,-4.07705799528078,0.716731591456932,-1.80675550114579,0.00618742463729044
6,PaysLoire,-0.128842805476991,-3.74828793402856,0.122541836057426,0.995343207446169,0.298811184220012
7,PaysLoire,-0.0736695542405843,-3.25673238888458,0.37811141044871,0.507663923405657,0.167036997819548
8,PaysLoire,-0.00441096080130679,-2.89344637827222,0.0885370151203498,0.617803900186508,0.0137434199599072
9,PaysLoire,-0.0951863378914535,-3.47336399581879,0.577146931952117,0.202095507624771,0.171141120499974
10,PaysLoire,-0.0038453154737213,-4.06722794594434,0.41212500339058,0.213972957533926,-0.0130552602782462
1,Bretagne,-0.12610960549886,0.491460236767704,0.220058417772584,-1.72749646396082,-0.00201381697154113
2,Bretagne,-0.204148810273851,0.703299305652168,0.187326653662982,-0.0226460861017018,0.0828030108108868
3,Bretagne,-0.229724751262488,0.365675841089583,0.229825879671968,-0.392561912751041,0.302997194595711
4,Bretagne,-0.184708133734207,0.553948081435397,0.275649856854307,-0.887559778745378,0.108281741453144
5,Bretagne,-0.270393502353037,0.279631212622096,0.286571074361977,-0.252097552423985,0.275222850644938
6,Bretagne,-0.17150978829572,0.386670986610214,0.144558779471356,-0.532696721955105,0.0831964850094053
