rep,id,eta_b,eta_Dq,eta_E0,eta_A0
3,GrandEst,-0.00901211363281122,0.932142295089893,-0.488783074185203,1.21760431776982
4,GrandEst,-0.0351473072204325,1.00299866585711,-0.634917235226681,1.30391235902813
5,GrandEst,0.0230905475377086,0.894825388198119,-0.319362561780222,1.11415896468331
6,GrandEst,0.0354632198516897,0.878898775192794,-0.650751365110917,1.06459454340635
7,GrandEst,-0.0379288661712094,0.990483394987789,-0.531213868241286,1.31325530086575
8,GrandEst,0.00628626948216898,0.950291923857917,-0.699521006966442,1.17294495452109
9,GrandEst,-0.0274314076569769,0.982197431684343,-0.895481034438358,1.30704815443767
10,GrandEst,-0.00800608160489208,0.940080040366061,0.159705654695655,1.13853273262845
1,PaysLoire,-0.192760234168267,-3.04974973460077,1.53338868998606,1.17417318738304
2,PaysLoire,-0.228218504392874,-2.38920635183052,0.264166961747547,1.68597373898677
3,PaysLoire,0.0229711195088942,-2.4897743581664,1.6309353971681,0.33875398159862
4,PaysLoire,-0.0410825179773655,-2.87969153001059,1.70295541481988,0.469487015627295
5,PaysLoire,-0.0787803931009596,-2.34549499689666,1.12068925678751,1.02795470080783
6,PaysLoire,-0.0893556188140037,-2.53087720813708,1.34275143956202,1.0299407264654
7,PaysLoire,0.012630711927002,-2.62467003267666,1.07063505234047,0.70189681524455
8,PaysLoire,-0.0475977866734781,-2.80134866959041,1.60994904090592,0.570461012622394
9,PaysLoire,-0.0831032499079582,-2.72925347994475,1.2896081881107,1.06149559787027
10,PaysLoire,-0.065152038215595,-1.95750202638064,0.855537215791625,1.14342010860635
1,Bretagne,-0.181354942048289,1.37550671054975,0.280782276158055,0.0633910488379558
2,Bretagne,-0.0524193762994433,1.33557470446772,0.898114999885712,-1.14136609678913
3,Bretagne,-0.0557183036467487,1.45029281389559,0.961189278559603,-1.17214425345522
4,Bretagne,-0.0231583357239219,1.12763096649943,0.510467272165721,-0.726421281803055
5,Bretagne,-0.102494632792707,1.31107350478833,0.263022708297906,-0.0173466897288466
6,Bretagne,-0.154381091665826,1.26290775737133,0.561881675583959,-0.0563122037481753
7,Bretagne,-0.00700285587852752,1.44104290137045,0.367469346911083,-0.505890176896489
8,Bretagne,-0.10452893595652,1.60803977109308,1.08465111264493,-1.15054780076151
9,Bretagne,-0.0984495178935762,1.05296108559707,0.62380577898979,-0.393832111432987
10,Bretagne,-0.0610450146348882,1.14925758546572,0.862066080555291,-1.18175418006505
1,Occitanie,0.0967900936388292,-0.649710741947214,-0.487975371172176,0.180196962571525
2,Occitanie,0.0437321630787679,-0.321130307231986,-0.966388529168469,0.448528318579463
3,Occitanie,0.102951137813556,-0.339583653076207,-0.781867442885733,0.289066195449136
4,Occitanie,0.0462613025816269,-0.368209152061541,-1.30242025220818,0.453233431702609
5,Occitanie,0.0063382270204833,-0.444080536766957,-0.928979854635299,0.603447857852882
6,Occitanie,0.110823985599994,-0.600075066690603,-1.019172585564,0.254131402282106
7,Occitanie,0.0907413561636593,-0.341059474671949,-0.485447389791636,0.284486134431825
8,Occitanie,0.128034332130688,-0.766120642936732,-0.77176604201154,0.182809669966557
9,Occitanie,0.0341855473661588,-0.29343052218121,-0.818711575923327,0.481243159450156
10,Occitanie,0.1595062164194,-0.789293958957593,-0.616323463829186,-0.0401418309055891
1,PACA,0.169918774343399,-0.51346111051529,-0.0420255278813807,-0.0141763338982932
2,PACA,0.139844330597977,-0.659189578837144,-1.10714316520313,0.253834970480377
3,PACA,0.0724770600107263,-0.194214840432533,-0.690888428616446,0.458735463344935
4,PACA,0.155204083984604,-0.482901938806134,-1.45484510536899,0.252332407576668
5,PACA,0.135546314752357,-0.801837807157791,-0.692068526942985,0.254972378472157
6,PACA,0.151245280736405,-0.793740422451026,-2.42026578591248,0.320825808075089
7,PACA,0.113902593978574,-0.280267108868032,-0.50522202338204,0.321516615548181
8,PACA,0.141657935298464,-0.435248063700653,-0.628775806870823,0.217016209272583
9,PACA,0.121696419213731,-0.399411914703214,-0.819120554214067,0.359931278609692
10,PACA,0.134271759871975,-0.696158931013619,-1.42616870265321,0.316576362872058
1,Corse,-1.22846360348729,-3.56834015944662,0.234313130686654,-0.484758671142691
2,Corse,-1.09330064753093,-2.97721694774665,0.272307864930787,-0.858914632756166
3,Corse,-1.14383608167848,-2.69202996742302,0.189860327868805,-0.690987049980028
4,Corse,-1.54144791417514,-1.84047681925268,-0.182384395288068,0.393978790509733
5,Corse,-1.14004282912028,-2.82828054473546,0.227923497305994,-0.554393446346707
6,Corse,-1.33319674874143,-2.8838762588639,0.165208869863213,-0.322195938157466
7,Corse,-1.15955513169471,-2.6666999730858,0.0885690055854838,-0.281871858915589
8,Corse,-1.50378878392897,-2.59077569753852,0.138774328508321,0.183858711086097
9,Corse,-1.09813371729018,-2.75151957011613,0.131094159897139,-0.478296928926495
10,Corse,-1.12311448187789,-2.98956201758875,0.170695652279239,-0.620906731982965
