rep,id,b,Dq,E0,A0,De
6,HDF,1.22313204893951,2.72297178820159,338.23413628576,209.142836421543,0.328265094168019
7,HDF,1.19121097936909,3.08979141862065,147.91113173078,294.739702683978,0.107733371715889
8,HDF,1.24684001880636,2.93320929348342,411.836855518895,119.867682608191,0.409711336147417
9,HDF,1.25655783836877,3.16406948424062,552.273760717883,74.0837247806703,0.523461528856283
10,HDF,1.21826153298724,2.74731714801461,296.312397776138,180.134419647369,0.236693649556821
1,GrandEst,1.36082775223562,2.67644965639055,84.7331470305638,1153.94014481942,1.32566722077827
2,GrandEst,1.31539593882258,2.42772153648024,96.7200275774295,983.619684525407,0.997689028839853
3,GrandEst,1.56268889589801,2.6366094871,189.659376417464,1376.47180975666,2.48303362506882
4,GrandEst,1.57222116908668,2.72277298778055,109.859256050445,1568.99501985348,2.66145772369108
5,GrandEst,1.37324632018297,2.67650443767105,124.501839700771,1256.01074609362,1.46072382859835
6,GrandEst,1.34811794467402,2.50834286413515,87.494510162603,1022.157412366,1.16495496845166
7,GrandEst,1.56190353613632,2.5221581720753,110.389127189378,1479.65248215508,2.534418118092
8,GrandEst,1.5507056068917,2.57444417454963,211.802474461453,1559.20987840702,2.59842269495263
9,GrandEst,1.36883331156433,2.68564841924257,121.757480859585,1135.99511419855,1.39916731621478
10,GrandEst,1.35933558442936,2.67011002335566,122.317204240055,1091.12387672532,1.30692258483837
1,PaysLoire,1.18511412564826,0.0895761541978844,108.907526740411,1276.34159952943,0.468278695761896
2,PaysLoire,1.25933710672465,0.116006138937774,49.1555358035421,1437.01388142719,1.02318352225037
3,PaysLoire,1.14950919208771,0.0944422328511503,150.611671529722,1313.03571585722,0.41700754799021
4,PaysLoire,1.21172712688254,0.098302015943993,54.5661076377313,1136.71715377633,0.560435307775009
5,PaysLoire,1.26430560969067,0.184791552538515,236.758840170578,1144.20974563389,0.854985156539792
6,PaysLoire,1.1379321224841,0.0512942220081828,68.8096641918067,1458.84534199429,0.35549862992879
7,PaysLoire,1.19843969117363,0.136937406976792,92.2521462049482,1238.03867547414,0.581831583641116
8,PaysLoire,1.24766336005809,0.0849793012639902,156.665081927298,1386.08130535362,0.87454027655592
9,PaysLoire,1.20454374252784,0.0840946122220778,70.820868782087,1171.17038621296,0.543146220474455
10,PaysLoire,1.17507329742325,0.0991225745749102,95.6606047005442,885.518191614089,0.252236791210321
1,Bretagne,1.20310097372842,3.32872495146821,154.206363038315,153.947029829277,0.419775216867641
