rep,id,b,Dq,E0,A0,Di,eta_b,eta_Dq,eta_E0,eta_A0,eta_Di
2,10,-0.531882497095186,2.03328934120396,7.23639880481298,6.69291947715732,2.84294236501311,-0.109079375627234,0.797617159550302,0.738486966601023,-0.442130561316736,0
3,10,-0.604344538107586,2.4446512076889,6.02455755123456,7.50600170099236,2.84258016647077,-0.181541416639634,1.20897902603524,-0.473354286977396,0.370951662518307,0
4,10,-0.587165333978867,2.49968583543429,6.63904708944626,7.27155090115218,2.8424244164473,-0.164362212510915,1.26401365378062,0.141135251234302,0.136500862678128,0
1,11,-0.260131017534574,0.584497139388824,5.0119987430861,7.22916729940236,2.84630965248972,0.162672103933377,-0.651175042264839,-1.48591309512586,0.0941172609283036,0
2,11,-0.25655692374833,0.917084930167074,6.20706819897012,7.1199834492028,2.84856500034892,0.166246197719622,-0.318587251486588,-0.290843639241839,-0.0150665892712594,0
3,11,-0.375214219590579,0.935272404572194,6.35404445937011,7.42984722087394,2.84599076937309,0.0475889018773732,-0.300399777081469,-0.143867378841851,0.294797182399883,0
4,11,-0.330976158168959,0.641683859476542,5.63671299842631,7.39366355156879,2.84170980000386,0.0918269632989925,-0.593988322177121,-0.861198839785651,0.258613513094732,0
1,12,-0.248181141238003,0.28609713501394,6.58684948140584,7.10372822799371,2.84809852419797,0.174621980229949,-0.949575046639723,0.0889376431938862,-0.0313218104803425,0
2,12,-0.307637010354984,0.746743412572381,6.27803826298133,7.39254700905642,2.8447483874321,0.115166111112968,-0.488928769081282,-0.219873575230633,0.257496970582361,0
3,12,-0.242383189890839,0.327427815210795,4.50352890786013,7.36414520712519,2.84525953468236,0.180419931577113,-0.908244366442868,-1.99438293035183,0.229095168651136,0
4,12,-0.23774474381007,0.577136460509994,4.00162400124418,7.33857982719899,2.84226729612088,0.185058377657882,-0.658535721143669,-2.49628783696778,0.203529788724938,0
1,13,-1.83111628828608,0.997358069242126,6.8014723081294,6.32317840140313,2.84150115315532,-1.40831316681812,-0.238314112411537,0.303560469917437,-0.811871637070928,0
2,13,-1.99098186143649,0.549483151007992,6.72282321296892,6.97060456271748,2.84893325945824,-1.56817873996853,-0.686189030645671,0.224911374756966,-0.164445475756575,0
3,13,-2.27360460625821,0.344528865858551,6.56210341512049,7.41213032785241,2.84426096522864,-1.85080148479026,-0.891143315795112,0.0641915769085291,0.27708028937835,0
4,13,-2.02412635163392,0.353917090660681,6.79388798892351,6.75632430469725,2.84499051741514,-1.60132323016597,-0.881755090992981,0.295976150711555,-0.37872573377681,0
