reg_id	date	day	init_I0	init_H0	obs_id	obs	isolation	popsize	ascertainement	ascertainementmin	ascertainementmax	ascertainementsd	IDname
REG-27	2020-03-04	2	4	0	2	10	0	2783039	0.078898180029513	0.0631744781410004	0.105042567125082	0.046546453609735	BFC
REG-27	2020-03-05	3	4	0	2	12	0	2783039	0.078898180029513	0.0631744781410004	0.105042567125082	0.046546453609735	BFC
REG-27	2020-03-06	4	4	0	2	13	0	2783039	0.078898180029513	0.0631744781410004	0.105042567125082	0.046546453609735	BFC
REG-27	2020-03-07	5	4	0	2	15	0	2783039	0.078898180029513	0.0631744781410004	0.105042567125082	0.046546453609735	BFC
REG-27	2020-03-08	6	4	0	2	20	0	2783039	0.078898180029513	0.0631744781410004	0.105042567125082	0.046546453609735	BFC
REG-27	2020-03-09	7	4	0	2	13	0	2783039	0.078898180029513	0.0631744781410004	0.105042567125082	0.046546453609735	BFC
REG-27	2020-03-10	8	4	0	2	28	0	2783039	0.078898180029513	0.0631744781410004	0.105042567125082	0.046546453609735	BFC
REG-27	2020-03-11	9	4	0	2	16	0	2783039	0.078898180029513	0.0631744781410004	0.105042567125082	0.046546453609735	BFC
REG-27	2020-03-12	10	4	0	2	34	0	2783039	0.078898180029513	0.0631744781410004	0.105042567125082	0.046546453609735	BFC
REG-27	2020-03-13	11	4	0	2	44	0	2783039	0.078898180029513	0.0631744781410004	0.105042567125082	0.046546453609735	BFC
REG-27	2020-03-14	12	4	0	2	29	0	2783039	0.078898180029513	0.0631744781410004	0.105042567125082	0.046546453609735	BFC
REG-27	2020-03-15	13	4	0	2	28	0	2783039	0.078898180029513	0.0631744781410004	0.105042567125082	0.046546453609735	BFC
REG-27	2020-03-16	14	4	0	2	38	0	2783039	0.078898180029513	0.0631744781410004	0.105042567125082	0.046546453609735	BFC
REG-27	2020-03-17	15	4	0	2	54	0	2783039	0.078898180029513	0.0631744781410004	0.105042567125082	0.046546453609735	BFC
REG-27	2020-03-18	16	4	0	2	61	1	2783039	0.078898180029513	0.0631744781410004	0.105042567125082	0.046546453609735	BFC
REG-27	2020-03-19	17	4	0	2	64	1	2783039	0.078898180029513	0.0631744781410004	0.105042567125082	0.046546453609735	BFC
REG-27	2020-03-20	18	4	0	2	89	1	2783039	0.078898180029513	0.0631744781410004	0.105042567125082	0.046546453609735	BFC
REG-27	2020-03-21	19	4	0	2	49	1	2783039	0.078898180029513	0.0631744781410004	0.105042567125082	0.046546453609735	BFC
REG-28	2020-03-11	0	17	0	1	17	0	3303500	0.0202191494912601	0.0151300697935478	0.0304668304668305	0.046546453609735	Normandie
REG-28	2020-03-12	1	17	0	1	14	0	3303500	0.0202191494912601	0.0151300697935478	0.0304668304668305	0.046546453609735	Normandie
REG-28	2020-03-13	2	17	0	1	29	0	3303500	0.0202191494912601	0.0151300697935478	0.0304668304668305	0.046546453609735	Normandie
REG-28	2020-03-14	3	17	0	1	30	0	3303500	0.0202191494912601	0.0151300697935478	0.0304668304668305	0.046546453609735	Normandie
REG-28	2020-03-15	4	17	0	1	16	0	3303500	0.0202191494912601	0.0151300697935478	0.0304668304668305	0.046546453609735	Normandie
REG-28	2020-03-16	5	17	0	1	13	0	3303500	0.0202191494912601	0.0151300697935478	0.0304668304668305	0.046546453609735	Normandie
REG-28	2020-03-17	6	17	0	1	18	0	3303500	0.0202191494912601	0.0151300697935478	0.0304668304668305	0.046546453609735	Normandie
REG-28	2020-03-18	7	17	0	1	34	1	3303500	0.0202191494912601	0.0151300697935478	0.0304668304668305	0.046546453609735	Normandie
REG-28	2020-03-19	8	17	0	1	33	1	3303500	0.0202191494912601	0.0151300697935478	0.0304668304668305	0.046546453609735	Normandie
REG-28	2020-03-20	9	17	0	1	46	1	3303500	0.0202191494912601	0.0151300697935478	0.0304668304668305	0.046546453609735	Normandie
REG-28	2020-03-21	10	17	0	1	58	1	3303500	0.0202191494912601	0.0151300697935478	0.0304668304668305	0.046546453609735	Normandie
REG-28	2020-03-22	11	17	0	1	117	1	3303500	0.0202191494912601	0.0151300697935478	0.0304668304668305	0.046546453609735	Normandie
REG-28	2020-03-23	12	17	0	1	49	1	3303500	0.0202191494912601	0.0151300697935478	0.0304668304668305	0.046546453609735	Normandie
REG-28	2020-03-24	13	17	0	1	75	1	3303500	0.0202191494912601	0.0151300697935478	0.0304668304668305	0.046546453609735	Normandie
REG-28	2020-03-25	14	17	0	1	102	1	3303500	0.0202191494912601	0.0151300697935478	0.0304668304668305	0.046546453609735	Normandie
REG-28	2020-03-12	1	17	0	2	2	0	3303500	0.0202191494912601	0.0151300697935478	0.0304668304668305	0.046546453609735	Normandie
REG-28	2020-03-13	2	17	0	2	9	0	3303500	0.0202191494912601	0.0151300697935478	0.0304668304668305	0.046546453609735	Normandie
REG-28	2020-03-14	3	17	0	2	4	0	3303500	0.0202191494912601	0.0151300697935478	0.0304668304668305	0.046546453609735	Normandie
REG-28	2020-03-15	4	17	0	2	4	0	3303500	0.0202191494912601	0.0151300697935478	0.0304668304668305	0.046546453609735	Normandie
REG-28	2020-03-16	5	17	0	2	3	0	3303500	0.0202191494912601	0.0151300697935478	0.0304668304668305	0.046546453609735	Normandie
REG-28	2020-03-17	6	17	0	2	8	0	3303500	0.0202191494912601	0.0151300697935478	0.0304668304668305	0.046546453609735	Normandie
REG-28	2020-03-18	7	17	0	2	15	1	3303500	0.0202191494912601	0.0151300697935478	0.0304668304668305	0.046546453609735	Normandie
REG-28	2020-03-19	8	17	0	2	9	1	3303500	0.0202191494912601	0.0151300697935478	0.0304668304668305	0.046546453609735	Normandie
REG-28	2020-03-20	9	17	0	2	11	1	3303500	0.0202191494912601	0.0151300697935478	0.0304668304668305	0.046546453609735	Normandie
REG-28	2020-03-21	10	17	0	2	15	1	3303500	0.0202191494912601	0.0151300697935478	0.0304668304668305	0.046546453609735	Normandie
REG-32	2020-03-02	0	36	0	1	36	0	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-03	1	36	0	1	14	0	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-04	2	36	0	1	6	0	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-05	3	36	0	1	9	0	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-06	4	36	0	1	23	0	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-07	5	36	0	1	76	0	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-08	6	36	0	1	0	0	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-09	7	36	0	1	0	0	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-10	8	36	0	1	36	0	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-11	9	36	0	1	54	0	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-12	10	36	0	1	86	0	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-13	11	36	0	1	48	0	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-14	12	36	0	1	69	0	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-15	13	36	0	1	41	0	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-16	14	36	0	1	78	0	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-17	15	36	0	1	27	0	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-18	16	36	0	1	53	1	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-19	17	36	0	1	35	1	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-20	18	36	0	1	59	1	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-21	19	36	0	1	32	1	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
REG-32	2020-03-22	20	36	0	1	145	1	5962662	0.031078377112691	0.0260751535933705	0.0384574860394058	0.046546453609735	HDF
