rep,id,b,Dq,E0,A0
9,Occitanie,2.19963530388414,0.517838670707687,318.520926523713,574.786044977526
10,Occitanie,2.13047242449076,0.550235565475823,429.675552731473,699.938702346808
1,PACA,2.14450918744236,0.906897320932171,183.891538046054,933.90277075703
2,PACA,2.20011166444328,0.590141304963799,149.81412208197,819.615628828725
3,PACA,2.14709116693351,0.755812618982397,171.710762562068,928.898007996368
4,PACA,2.18596836976135,0.663880740448833,215.334215302537,798.766767642093
5,PACA,2.13412346583712,0.768180309077444,103.657978023855,971.647418353784
6,PACA,2.15546787611542,0.690044373770219,273.803597253912,857.358800942776
7,PACA,2.11853394663694,0.699724054862657,333.792072063751,857.374860079869
8,PACA,2.15391287394811,0.672267938801267,328.939646968774,783.630623287371
9,PACA,2.17094407959062,0.774140698304807,70.3606543073334,939.054461617966
10,PACA,2.1305340505702,0.536311977386508,147.583365255525,947.554311203478
1,Corse,0.970727403822965,0.100197178808832,769.61948236298,93.3371133898067
2,Corse,0.950492408194227,0.0296517116405338,775.97151087651,124.869038237612
3,Corse,0.724192660791628,0.0465083007543197,937.659896640406,138.899756877256
4,Corse,0.831407052225997,0.0145891397188105,715.696533434688,253.904687694724
5,Corse,0.898629678974191,0.0678478687910445,749.125944909105,165.815436932091
6,Corse,0.809479586530841,0.0208054616040634,845.243623642223,260.624083303692
7,Corse,0.92224604517806,0.0688110293803012,617.193221481583,294.00417798011
8,Corse,0.979539077633815,0.0100829832529241,596.178854405934,268.543660874373
9,Corse,0.906021446490059,0.0446850434864961,641.879286294313,368.076167273346
10,Corse,0.810736119855522,0.02014676659051,716.442435087896,349.372497725304
