rep,id,b1,Dq,E0,betat1,betat2
4,AURA,1.98650626716429,0.659892362474589,605.362446993881,-0.184639116127823,-1.11303479184306
5,AURA,2.00211631084954,0.723167938566814,419.372669416763,-0.184639116127823,-1.11303479184306
6,AURA,1.98708357141163,0.56796753325757,486.346549720853,-0.184639116127823,-1.11303479184306
7,AURA,1.99085403796289,0.529357618781508,447.695381786326,-0.184639116127823,-1.11303479184306
8,AURA,1.96975874173251,0.653010806714088,647.000907498534,-0.184639116127823,-1.11303479184306
9,AURA,1.98833606416404,0.687621484012789,505.093697060138,-0.184639116127823,-1.11303479184306
10,AURA,2.00858509623527,0.674528174537231,445.102332073447,-0.184639116127823,-1.11303479184306
1,Centre,2.3343485321757,4.59796328060903,422.053079445111,-0.184639116127823,-1.11303479184306
2,Centre,2.41507822383149,4.44196621890516,283.295137960411,-0.184639116127823,-1.11303479184306
3,Centre,2.4345540266082,4.03672200691155,180.181963493381,-0.184639116127823,-1.11303479184306
4,Centre,2.46108081076463,4.63815313332951,196.914124020716,-0.184639116127823,-1.11303479184306
5,Centre,2.39943389667381,4.44130498163553,402.487683169668,-0.184639116127823,-1.11303479184306
6,Centre,2.42227038352452,4.5075938248124,338.184032914194,-0.184639116127823,-1.11303479184306
7,Centre,2.43335832364318,4.42546688902902,189.976175230403,-0.184639116127823,-1.11303479184306
8,Centre,2.45402974876778,5.30314674334596,384.201954982567,-0.184639116127823,-1.11303479184306
9,Centre,2.35017073944572,3.8101916847844,333.460516151404,-0.184639116127823,-1.11303479184306
10,Centre,2.33872442495823,4.39390889629831,431.182838672129,-0.184639116127823,-1.11303479184306
1,BFC,1.85948896068619,0.673301288726603,877.026739748087,-0.184639116127823,-1.11303479184306
2,BFC,1.85721724708071,0.743349822844732,894.93475065442,-0.184639116127823,-1.11303479184306
3,BFC,1.85510911645555,0.852970767919782,926.997720418623,-0.184639116127823,-1.11303479184306
4,BFC,1.81583061778755,0.91441930639731,986.988789577394,-0.184639116127823,-1.11303479184306
5,BFC,1.86630020559347,0.797157567031737,848.112167872461,-0.184639116127823,-1.11303479184306
6,BFC,1.83342442367304,0.821649845755078,934.543642711694,-0.184639116127823,-1.11303479184306
7,BFC,1.91107281607404,0.863261028629642,775.179844896608,-0.184639116127823,-1.11303479184306
8,BFC,1.86938329119902,0.753680073688096,848.797043957819,-0.184639116127823,-1.11303479184306
9,BFC,1.84359965949636,0.869598359424391,934.531300504951,-0.184639116127823,-1.11303479184306
10,BFC,1.86667185905981,0.590970065155719,875.669055427648,-0.184639116127823,-1.11303479184306
1,Normandie,1.94496003663203,3.76910458973942,1767.59718610494,-0.184639116127823,-1.11303479184306
2,Normandie,1.92753571077353,3.01102499736487,1965.17946555009,-0.184639116127823,-1.11303479184306
3,Normandie,1.90605999498845,3.64260771805792,2102.47605066081,-0.184639116127823,-1.11303479184306
4,Normandie,1.97364983726987,3.80950208304238,1682.80601086726,-0.184639116127823,-1.11303479184306
5,Normandie,1.94953596983146,3.28484897460311,1563.01442695618,-0.184639116127823,-1.11303479184306
6,Normandie,1.94624186124812,3.05152361479214,1743.16690039126,-0.184639116127823,-1.11303479184306
7,Normandie,1.9049038711846,3.55024385031404,1845.96705185879,-0.184639116127823,-1.11303479184306
