rep,id,b,Dq,E0,A0,eta_b,eta_Dq,eta_E0,eta_A0
1,9,-0.085596896201939,-2.59819108046095,7.85172972151874,6.98037364448078,-0.100528217764227,-2.60603055002704,1.407070648036,1.04435845702494
2,9,-0.0568377498780031,-3.29627911496988,8.34360639694079,4.51693865989149,-0.0717690714402907,-3.30411858453597,1.89894732345804,-1.41907652756435
3,9,-0.119311184731916,-1.6311678473589,6.77125716595941,7.79857623940124,-0.134242506294204,-1.63900731692499,0.326598092476663,1.8625610519454
4,9,-0.0486542277075884,-3.17081161440762,8.19224546150813,6.06223210319985,-0.063585549269876,-3.17865108397371,1.74758638802538,0.126216915744012
1,10,-0.106133670971434,1.18664397380401,7.13408098489154,5.65136265575412,-0.121064992533721,1.17880450423791,0.689421911408794,-0.284652531701719
2,10,-0.0620019270275838,1.27589316933247,6.47989776497837,6.1824462850858,-0.0769332485898713,1.26805369976638,0.0352386914956249,0.246431097629965
3,10,-0.0125463552014599,1.12417196057113,7.08422308766432,3.71299895297191,-0.0274776767637475,1.11633249100504,0.639564014181573,-2.22301623448393
4,10,-0.0256768802115711,1.10986934049123,7.07342603265412,4.09340742846239,-0.0406082017738586,1.10202987092514,0.62876695917137,-1.84260775899345
1,11,0.121527457329093,-0.516835633224151,5.55587917004013,6.39364751671545,0.106596135766806,-0.524675102790241,-0.888779903442619,0.457632329259611
2,11,0.114013470410781,-0.635407299385588,6.44160472584243,6.07856335216935,0.0990821488484938,-0.643246768951679,-0.00305434764031531,0.142548164713512
3,11,0.111066617226835,-0.462775645163461,6.63635101052921,5.92016918339981,0.0961352956645471,-0.470615114729552,0.191691937046459,-0.0158460040560291
4,11,0.0525637256507095,-0.472825181116121,7.11196796670708,5.67571622876886,0.037632404088422,-0.480664650682212,0.667308893224329,-0.260298958686975
1,12,0.0477661665709174,-0.220256560909007,4.18123447553094,7.00173103569481,0.0328348450086298,-0.228096030475098,-2.26342459795181,1.06571584823897
2,12,0.0824799866630163,-0.435986844301045,5.39625088542903,6.8078701354154,0.0675486651007288,-0.443826313867136,-1.04840818805372,0.871854947959561
3,12,0.121956840700188,-0.409015120102767,4.68079074075701,6.72483305152466,0.1070255191379,-0.416854589668858,-1.76386833272574,0.788817864068823
4,12,0.0690270216425166,0.00335873164038994,5.33032306640307,6.83261558931261,0.054095700080229,-0.0044807379257007,-1.11433600707968,0.896600401856768
1,13,-0.726713224532625,-3.02706324610798,6.41942021528344,5.50252530549324,-0.741644546094913,-3.03490271567407,-0.0252388581993097,-0.433489881962594
2,13,-0.767563938109108,-4.88190869810843,6.59891059654695,4.43541072534171,-0.782495259671395,-4.88974816767452,0.154251523064199,-1.50060446211413
3,13,-0.622861255535059,-4.11668252876583,6.63440395848107,4.26038012460855,-0.637792577097346,-4.12452199833192,0.189744884998319,-1.67563506284729
4,13,-0.775908078910722,-5.04184853835548,6.44147787877431,5.74348400701043,-0.79083940047301,-5.04968800792157,-0.00318119470844014,-0.19253118044541
