rep,id,b1,b2,Dq,E0,A0
8,Normandie,0.732575021443564,0.695694707033164,5.23728142694367,4364.06221591084,235.422996162294
9,Normandie,0.737547766496181,0.721177151987072,5.75765859677547,4947.06371054751,125.219904221115
10,Normandie,0.64556979430067,0.710976454731415,3.50724847232769,4266.26707215811,657.585465285762
1,HDF,0.570084979563556,0.903349797278598,2.8752464798275,3524.51396762617,31.6479729833376
2,HDF,0.570781860245942,0.924591353982298,3.01082837261714,3055.82146486184,296.647704412524
3,HDF,0.543236742525976,0.864772089715802,2.83862267702907,3267.2943515741,527.773345178768
4,HDF,0.557979237979039,0.930011207279494,2.69343821143634,3325.92955709763,262.750544957177
5,HDF,0.56044945619921,0.93500436711562,2.49246458567236,3499.83902774798,48.329500104271
6,HDF,0.598617538203421,0.871294359206752,3.32468012205554,3248.0510013317,38.3740846415249
7,HDF,0.557479086890565,0.895727602647192,2.63338502346281,3114.48520047191,385.673549404297
8,HDF,0.571394891317911,0.920380137236943,2.50964870060317,3196.14164709277,243.344333854737
9,HDF,0.550838023965784,0.869180166408949,2.73462019303122,3660.26391672168,259.128459828251
10,HDF,0.57689179130855,0.853850731225176,3.27176240909637,3387.20291872087,222.036806560522
1,GrandEst,0.79812642166292,0.547417749009578,2.85564490656213,396.051221713515,1266.93190903402
2,GrandEst,0.817513334544921,0.560221920865904,3.10969595486243,478.042726674721,1057.98888143136
3,GrandEst,0.789028967158982,0.585944193090266,3.01025983870688,699.589655995907,1102.72617646303
4,GrandEst,0.800988483069189,0.561035369677167,2.8980666158157,336.330813116681,1228.71805737765
5,GrandEst,0.811935220129943,0.552822494544805,2.84726149369684,514.163761120583,1112.79679182149
6,GrandEst,0.796309741616917,0.551041000697705,3.1232267650838,518.827428747678,1183.15509014287
7,GrandEst,0.825565145341561,0.538354042502547,2.92434787717555,615.27692903907,991.504448495427
8,GrandEst,0.803890882671454,0.57420185556485,2.88021430706665,410.693352536795,1182.86504965087
9,GrandEst,0.81066049222499,0.569324395372428,3.06261708617908,322.983836262313,1213.273901378
10,GrandEst,0.826939843537463,0.539790373673703,2.94445674235071,539.083954243572,988.051964950031
1,PaysLoire,0.682012434956622,0.601964438694702,0.0288158470090406,2206.14916006325,657.908293657118
2,PaysLoire,0.724809331064099,0.480820758724441,0.209338909447476,2273.00294509574,725.98774508376
3,PaysLoire,0.668987055148607,0.557900701260869,0.181441809539836,3875.75319256788,88.9313535793519
4,PaysLoire,0.839159705664782,0.446686351168577,0.187122558240262,1514.71041835621,503.635304923379
5,PaysLoire,0.698925595176977,0.496928555827189,0.348822162291999,2024.74762461141,990.922273362849
6,PaysLoire,0.710230702405532,0.596498036521969,0.0749275155737861,2892.69939244765,131.224249349823
7,PaysLoire,0.671167816493683,0.483904049587118,0.14656064423543,3704.21824002516,100.066692720437
8,PaysLoire,0.693231232522182,0.490170834635202,0.0226873402219034,2741.10721196463,595.715708397849
9,PaysLoire,0.666499863808895,0.518103740245991,0.108968762732685,2365.53831084123,994.193899914294
10,PaysLoire,0.630188591268137,0.580452651965885,0.130972527784549,3990.76139602866,126.294402685192
1,Bretagne,0.662549185681141,0.52174195723362,3.56273332351934,1084.70186448723,119.515244652647
2,Bretagne,0.740634102011318,0.412656110835649,4.75709293935646,1046.34317005587,63.5016965610434
3,Bretagne,0.672672389333842,0.555482860980129,4.13361236783827,1180.56848917027,57.5167969976397
4,Bretagne,0.654066068664831,0.55587132347575,3.59752721903435,1277.47854851543,63.2849270374271
5,Bretagne,0.701731798470774,0.581261093195999,2.74128032394855,834.966429670976,131.962220991952
6,Bretagne,0.700130975173115,0.529099770363416,3.33881312535424,1027.93024066048,37.2563283647306
7,Bretagne,0.685337240969392,0.479788226331895,4.29302647142477,1133.98699255056,132.360910293843
8,Bretagne,0.671655236637972,0.544871568585297,4.66358692048721,1278.38869659496,45.6926591074875
9,Bretagne,0.648878771711667,0.589437297503,3.54526465469419,1114.17787655495,117.793766200933
10,Bretagne,0.747897142311371,0.452628442119088,4.62343238007057,1000.9946271419,34.5281314311048
1,Occitanie,0.809122407439936,0.612164915688503,0.582425019968068,932.061329399917,172.179847347425
2,Occitanie,0.762168755182733,0.660462988412422,0.703629502818149,507.146830528609,495.248704347502
3,Occitanie,0.762721827826248,0.529179140684232,0.834366087719059,281.463655930126,720.131138850278
4,Occitanie,0.830142423481362,0.588984807857959,0.658975655462719,482.634219699467,328.654114316924
5,Occitanie,0.793084679931849,0.553029204767143,0.56045599358754,768.729221567519,299.511365349266
6,Occitanie,0.778020007379343,0.754259963614887,0.64003936141516,386.337229031599,434.891063328001
7,Occitanie,0.809697453411886,0.656042403797335,0.585425119621401,272.287017022286,492.644414728269
8,Occitanie,0.801356575143417,0.652776277838797,0.678815446100601,508.858227949103,359.976054759
9,Occitanie,0.826867964456759,0.633825071993323,0.658775806345748,270.93078874143,462.956967761078
10,Occitanie,0.806426045194241,0.6447251354621,0.392582830781826,596.739836216373,288.315856737736
1,PACA,0.714472754702253,0.70079106087365,0.726832833170496,287.892820915094,926.756297408651
2,PACA,0.768813606981283,0.707826623794859,0.810497114560484,159.578318777492,746.500504080558
3,PACA,0.726662405339454,0.747677466003241,0.680911034277042,257.324156234011,849.119237037502
4,PACA,0.769616082788987,0.635503058864845,0.882756232038792,121.488579171672,801.044799047524
5,PACA,0.749540519865103,0.668956101629263,0.687548412908296,117.148414999442,849.786032186262
6,PACA,0.744987270398584,0.730496910018579,0.685519628753557,136.518826432327,818.814596065513
7,PACA,0.769064681505169,0.677999983864718,0.668556495514591,161.904696772042,779.316823332972
8,PACA,0.730592544303969,0.708525547209245,0.660207531607984,216.806891604143,861.937162133352
9,PACA,0.739886610641805,0.704473464066334,0.734700582153957,294.817335224089,786.645391522323
10,PACA,0.764524862349565,0.732758328301843,0.724813057486111,169.047084614525,766.450257187287
1,Corse,0.46713095521596,0.183546461220453,0.0863950391966483,736.579497507514,26.8968108374645
2,Corse,0.439545787998066,0.209109441814452,0.0380045042088664,716.308034078867,48.2588598591925
3,Corse,0.488927364582082,0.165791293771191,0.0299625183671842,683.849141550078,45.1625516794391
4,Corse,0.438618496072005,0.270176091162833,0.0203310535057902,711.04907570133,13.7536113205445
5,Corse,0.458171355132147,0.152601513076437,0.0491655849594798,630.03410932016,83.3966724435979
6,Corse,0.429927646012686,0.249069011078665,0.0182689950151983,608.729517684072,119.503210040522
7,Corse,0.434705003315873,0.15682211538144,0.0507228150446261,698.238578374494,89.8176299284397
8,Corse,0.486333130059339,0.246783630920329,0.00857728543533824,554.460553516687,72.8973860642082
9,Corse,0.508229207580263,0.142148799329703,0.0339739817354126,672.9791729219,33.2251007941222
10,Corse,0.447563958095309,0.247732641245801,0.0931129805468521,679.7058657476,80.0008637251631
