ID date B Bmin Bmax 
'Centre' '2020-03-15' 5.250583e-01 3.009865e-01 9.159422e-01
'Centre' '2020-03-12' 5.431347e-01 3.091855e-01 9.541043e-01
'Centre' '2020-03-20' 5.498939e-01 3.112932e-01 9.713776e-01
'Centre' '2020-03-12' 5.454097e-01 3.069783e-01 9.690318e-01
'Centre' '2020-03-12' 5.579349e-01 3.121936e-01 9.971098e-01
'Centre' '2020-03-14' 5.934401e-01 3.306773e-01 1.065000e+00
'Centre' '2020-03-12' 6.119162e-01 3.403482e-01 1.100171e+00
'Centre' '2020-03-14' 6.240399e-01 3.464865e-01 1.123928e+00
'Centre' '2020-03-12' 6.162510e-01 3.415963e-01 1.111737e+00
'Centre' '2020-03-12' 5.914039e-01 3.264473e-01 1.071409e+00
'Centre' '2020-03-12' 5.574659e-01 3.056240e-01 1.016832e+00
'Centre' '2020-03-13' 5.423954e-01 2.945675e-01 9.987279e-01
'Centre' '2020-03-16' 5.476280e-01 2.945891e-01 1.018016e+00
'Centre' '2020-03-13' 5.319509e-01 2.834402e-01 9.983474e-01
'Centre' '2020-03-21' 5.263326e-01 2.774429e-01 9.984974e-01
'Centre' '2020-03-13' 5.198396e-01 2.711528e-01 9.966084e-01
'Centre' '2020-03-13' 5.092140e-01 2.626240e-01 9.873387e-01
'Centre' '2020-03-15' 4.960027e-01 2.528266e-01 9.730726e-01
'Centre' '2020-03-13' 4.878897e-01 2.455800e-01 9.692822e-01
'Centre' '2020-03-15' 4.878848e-01 2.389343e-01 9.962220e-01
'Centre' '2020-03-13' 4.877862e-01 2.326603e-01 1.022673e+00
'Centre' '2020-03-13' 4.877799e-01 2.273702e-01 1.046440e+00
'Centre' '2020-03-13' 4.877799e-01 2.273702e-01 1.046440e+00
'BFC' '2020-03-14' 2.160000e+00 2.030186e+00 2.298114e+00
'BFC' '2020-03-17' 2.159976e+00 1.758621e+00 2.652928e+00
'BFC' '2020-03-14' 2.159658e+00 1.625677e+00 2.869034e+00
'BFC' '2020-03-22' 2.159792e+00 1.529559e+00 3.049704e+00
'BFC' '2020-03-14' 2.161244e+00 1.453750e+00 3.213052e+00
'BFC' '2020-03-14' 2.156400e+00 1.386912e+00 3.352816e+00
'BFC' '2020-03-16' 2.130575e+00 1.318065e+00 3.443951e+00
'BFC' '2020-03-14' 2.100860e+00 1.258522e+00 3.506981e+00
'BFC' '2020-03-16' 2.097009e+00 1.227283e+00 3.583074e+00
'BFC' '2020-03-14' 2.050162e+00 1.186205e+00 3.543371e+00
'BFC' '2020-03-14' 1.980327e+00 1.145346e+00 3.424027e+00
'BFC' '2020-03-14' 1.943196e+00 1.134036e+00 3.329710e+00
'BFC' '2020-03-15' 1.841162e+00 1.088586e+00 3.114019e+00
'BFC' '2020-03-18' 1.734991e+00 1.034190e+00 2.910675e+00
'BFC' '2020-03-15' 2.076538e+00 1.255902e+00 3.433396e+00
'BFC' '2020-03-23' 2.251508e+00 1.418962e+00 3.572530e+00
'BFC' '2020-03-15' 2.146928e+00 1.370786e+00 3.362524e+00
'BFC' '2020-03-15' 2.042172e+00 1.311575e+00 3.179740e+00
'BFC' '2020-03-17' 1.976849e+00 1.275535e+00 3.063758e+00
'BFC' '2020-03-15' 1.975835e+00 1.287431e+00 3.032336e+00
'BFC' '2020-03-17' 1.792607e+00 1.181614e+00 2.719535e+00
'BFC' '2020-03-15' 1.830884e+00 1.218297e+00 2.751493e+00
'BFC' '2020-03-15' 1.786841e+00 1.208656e+00 2.641610e+00
'BFC' '2020-03-15' 1.669874e+00 1.137672e+00 2.451039e+00
'BFC' '2020-03-16' 1.529619e+00 1.049546e+00 2.229283e+00
'BFC' '2020-03-19' 1.456663e+00 1.003539e+00 2.114384e+00
'BFC' '2020-03-16' 1.321765e+00 9.136464e-01 1.912187e+00
'BFC' '2020-03-24' 1.076876e+00 7.420418e-01 1.562798e+00
'BFC' '2020-03-16' 9.405304e-01 6.421829e-01 1.377485e+00
'BFC' '2020-03-16' 8.941471e-01 6.050843e-01 1.321302e+00
'BFC' '2020-03-18' 8.237806e-01 5.531701e-01 1.226774e+00
'BFC' '2020-03-16' 7.385762e-01 4.914537e-01 1.109962e+00
'BFC' '2020-03-18' 7.327542e-01 4.828976e-01 1.111889e+00
'BFC' '2020-03-16' 6.777980e-01 4.432965e-01 1.036350e+00
'BFC' '2020-03-16' 5.710931e-01 3.692898e-01 8.831746e-01
'BFC' '2020-03-16' 5.529426e-01 3.525268e-01 8.672975e-01
'BFC' '2020-03-17' 5.664367e-01 3.569057e-01 8.989783e-01
'BFC' '2020-03-20' 5.728897e-01 3.574536e-01 9.181686e-01
'BFC' '2020-03-17' 6.006097e-01 3.719825e-01 9.697553e-01
'BFC' '2020-03-25' 6.522007e-01 4.023751e-01 1.057137e+00
'BFC' '2020-03-17' 6.462829e-01 3.983453e-01 1.048541e+00
'BFC' '2020-03-17' 5.840224e-01 3.584557e-01 9.515320e-01
'BFC' '2020-03-19' 5.514004e-01 3.356575e-01 9.058115e-01
'BFC' '2020-03-17' 5.607108e-01 3.382874e-01 9.293773e-01
'BFC' '2020-03-19' 5.907963e-01 3.539067e-01 9.862495e-01
'BFC' '2020-03-17' 6.701753e-01 4.000638e-01 1.122658e+00
'BFC' '2020-03-17' 7.183754e-01 4.299826e-01 1.200196e+00
'BFC' '2020-03-17' 6.534815e-01 3.915078e-01 1.090752e+00
'BFC' '2020-03-18' 5.683692e-01 3.384176e-01 9.545708e-01
'BFC' '2020-03-21' 5.477474e-01 3.226636e-01 9.298453e-01
'BFC' '2020-03-18' 5.527138e-01 3.222598e-01 9.479696e-01
'BFC' '2020-03-26' 5.529642e-01 3.192511e-01 9.577710e-01
'BFC' '2020-03-18' 5.677262e-01 3.248599e-01 9.921601e-01
'BFC' '2020-03-18' 5.951225e-01 3.381606e-01 1.047345e+00
'BFC' '2020-03-20' 5.849459e-01 3.305434e-01 1.035149e+00
'BFC' '2020-03-18' 5.217478e-01 2.923659e-01 9.310959e-01
'BFC' '2020-03-20' 4.954435e-01 2.742217e-01 8.951305e-01
'BFC' '2020-03-18' 5.046582e-01 2.759152e-01 9.230368e-01
'BFC' '2020-03-18' 5.150270e-01 2.784351e-01 9.526557e-01
'BFC' '2020-03-18' 5.357595e-01 2.867756e-01 1.000916e+00
'BFC' '2020-03-19' 5.362124e-01 2.846070e-01 1.010248e+00
'BFC' '2020-03-22' 5.111266e-01 2.687218e-01 9.721966e-01
'BFC' '2020-03-19' 4.875214e-01 2.534232e-01 9.378666e-01
'BFC' '2020-03-27' 4.796978e-01 2.462552e-01 9.344371e-01
'BFC' '2020-03-19' 4.860586e-01 2.464478e-01 9.586332e-01
'BFC' '2020-03-19' 5.111297e-01 2.562407e-01 1.019563e+00
'BFC' '2020-03-21' 5.309231e-01 2.637375e-01 1.068788e+00
'BFC' '2020-03-19' 5.239972e-01 2.580446e-01 1.064053e+00
'BFC' '2020-03-21' 5.191367e-01 2.532378e-01 1.064229e+00
'BFC' '2020-03-19' 5.118631e-01 2.472542e-01 1.059654e+00
'BFC' '2020-03-19' 5.008263e-01 2.396040e-01 1.046840e+00
'BFC' '2020-03-19' 5.008263e-01 2.396040e-01 1.046840e+00
'Normandie' '2020-03-20' 2.160000e+00 2.030186e+00 2.298114e+00
'Normandie' '2020-03-23' 2.159941e+00 1.758593e+00 2.652885e+00
'Normandie' '2020-03-20' 2.159462e+00 1.625555e+00 2.868728e+00
'Normandie' '2020-03-28' 2.157985e+00 1.528522e+00 3.046669e+00
'Normandie' '2020-03-20' 2.150519e+00 1.447772e+00 3.194376e+00
'Normandie' '2020-03-20' 2.133383e+00 1.376448e+00 3.306572e+00
'Normandie' '2020-03-22' 2.126961e+00 1.327832e+00 3.407029e+00
'Normandie' '2020-03-20' 2.126221e+00 1.301571e+00 3.473352e+00
'Normandie' '2020-03-22' 2.150968e+00 1.313413e+00 3.522627e+00
'Normandie' '2020-03-20' 2.182864e+00 1.353426e+00 3.520619e+00
'Normandie' '2020-03-20' 2.278044e+00 1.448899e+00 3.581673e+00
'Normandie' '2020-03-20' 2.172603e+00 1.414988e+00 3.335861e+00
'Normandie' '2020-03-21' 2.036841e+00 1.335980e+00 3.105377e+00
'Normandie' '2020-03-24' 2.106176e+00 1.388142e+00 3.195622e+00
'Normandie' '2020-03-21' 2.186130e+00 1.456075e+00 3.282224e+00
'Normandie' '2020-03-29' 2.166455e+00 1.453592e+00 3.228915e+00
'Normandie' '2020-03-21' 2.031857e+00 1.376685e+00 2.998828e+00
'Normandie' '2020-03-21' 2.073274e+00 1.420437e+00 3.026157e+00
'Normandie' '2020-03-23' 1.806362e+00 1.254208e+00 2.601598e+00
'Normandie' '2020-03-21' 1.300084e+00 9.020870e-01 1.873676e+00
'Normandie' '2020-03-23' 1.071632e+00 7.356951e-01 1.560965e+00
'Normandie' '2020-03-21' 1.003106e+00 6.820420e-01 1.475307e+00
'Normandie' '2020-03-21' 9.509345e-01 6.420027e-01 1.408524e+00
'Normandie' '2020-03-21' 8.842893e-01 5.934086e-01 1.317756e+00
'Normandie' '2020-03-22' 8.323777e-01 5.549380e-01 1.248523e+00
'Normandie' '2020-03-25' 7.537775e-01 4.989625e-01 1.138724e+00
'Normandie' '2020-03-22' 6.420520e-01 4.205247e-01 9.802771e-01
'Normandie' '2020-03-30' 6.006866e-01 3.880988e-01 9.297230e-01
'Normandie' '2020-03-22' 5.723870e-01 3.651617e-01 8.972103e-01
'Normandie' '2020-03-22' 5.277023e-01 3.322377e-01 8.381640e-01
'Normandie' '2020-03-24' 5.263989e-01 3.270421e-01 8.472786e-01
'Normandie' '2020-03-22' 5.498361e-01 3.379750e-01 8.945034e-01
'Normandie' '2020-03-24' 5.254643e-01 3.201414e-01 8.624711e-01
'Normandie' '2020-03-22' 4.645635e-01 2.798715e-01 7.711370e-01
'Normandie' '2020-03-22' 4.378740e-01 2.600977e-01 7.371602e-01
'Normandie' '2020-03-22' 4.472883e-01 2.620155e-01 7.635686e-01
'Normandie' '2020-03-23' 4.555349e-01 2.635606e-01 7.873408e-01
'Normandie' '2020-03-26' 4.743499e-01 2.714092e-01 8.290356e-01
'Normandie' '2020-03-23' 5.674492e-01 3.223596e-01 9.988801e-01
'Normandie' '2020-03-31' 6.332861e-01 3.603597e-01 1.112919e+00
'Normandie' '2020-03-23' 5.847014e-01 3.331579e-01 1.026167e+00
'Normandie' '2020-03-23' 5.412175e-01 3.071060e-01 9.537956e-01
'Normandie' '2020-03-25' 5.374820e-01 3.029286e-01 9.536467e-01
'Normandie' '2020-03-23' 5.549807e-01 3.107945e-01 9.910199e-01
