rep,id,eta_b1,eta_Dq,eta_E0,eta_betat1,eta_betat2
4,PaysLoire,0.126392590850674,-3.54441837425834,-1.69497545888486,0,0
5,PaysLoire,0.121421068632745,-3.2086670587301,-1.61198891651029,0,0
6,PaysLoire,0.119439733757496,-3.176263404003,-1.06576151152879,0,0
7,PaysLoire,0.118402106501114,-3.59940204062941,-1.27707231666292,0,0
8,PaysLoire,0.129504360087376,-3.23299425702047,-1.77865367967683,0,0
9,PaysLoire,0.108762761392393,-3.34404612339047,-0.912933174875092,0,0
10,PaysLoire,0.128957968438195,-4.3780406301928,-1.50875196745964,0,0
1,Bretagne,-0.144556805869614,0.290725522481653,-0.288094723604507,0,0
2,Bretagne,-0.116740459860684,0.410722696261778,-0.650593829097133,0,0
3,Bretagne,-0.125499231698837,0.652586373826891,-0.498463522255566,0,0
4,Bretagne,-0.119470020046005,0.598507351548434,-0.358552296041899,0,0
5,Bretagne,-0.120836294018815,0.485624814597234,-0.527341431232627,0,0
6,Bretagne,-0.174856882278858,0.368161989640796,0.041457918895741,0,0
7,Bretagne,-0.133547556517899,0.644688323693931,-0.292344912655249,0,0
8,Bretagne,-0.13673669868373,0.432876020118641,-0.561263070762954,0,0
9,Bretagne,-0.139255191656669,0.397877838200015,-0.386355084074518,0,0
10,Bretagne,-0.134793860411019,0.399630298548081,-0.451345098325062,0,0
1,Occitanie,0.0360644380770198,-0.0952614627754406,-0.160846144079884,0,0
2,Occitanie,-0.0189452483323791,-0.36302820742598,0.205355235805412,0,0
3,Occitanie,0.0275556876970943,-0.0221738818722764,-0.12719559957768,0,0
4,Occitanie,0.00976158320664797,-0.323695021420043,0.0703709481108174,0,0
5,Occitanie,0.0195897249158309,-0.140301441568039,0.0431602439885365,0,0
6,Occitanie,0.0207381233359827,0.00538163979124125,0.0476431430905464,0,0
7,Occitanie,0.0342978466883912,-0.0309105501294666,-0.103325037204303,0,0
8,Occitanie,0.00571004311220166,-0.0748348816123095,0.122082826419458,0,0
9,Occitanie,0.0219159239927274,-0.0525800497983256,-0.0155638858860414,0,0
10,Occitanie,-0.000409118968955525,-0.128103837283487,0.116643889170377,0,0
