reg_id	date	day	initI	initH	obs_id	obs	isolation	popsize	ascertainement	IDname	timesinceconf
REG-75	2020-03-21	17	5	1	2	67	1	5999982	0.0323584318606098	NAquitaine	4
REG-75	2020-03-22	18	5	1	2	70	1	5999982	0.0323584318606098	NAquitaine	5
REG-75	2020-03-23	19	5	1	2	98	1	5999982	0.0323584318606098	NAquitaine	6
REG-75	2020-03-24	20	5	1	2	98	1	5999982	0.0323584318606098	NAquitaine	7
REG-75	2020-03-25	21	5	1	2	99	1	5999982	0.0323584318606098	NAquitaine	8
REG-75	2020-03-26	22	5	1	2	112	1	5999982	0.0323584318606098	NAquitaine	9
REG-75	2020-03-27	23	5	1	2	142	1	5999982	0.0323584318606098	NAquitaine	10
REG-75	2020-03-28	24	5	1	2	118	1	5999982	0.0323584318606098	NAquitaine	11
REG-75	2020-03-29	25	5	1	2	78	1	5999982	0.0323584318606098	NAquitaine	12
REG-75	2020-03-30	26	5	1	2	123	1	5999982	0.0323584318606098	NAquitaine	13
REG-75	2020-03-31	27	5	1	2	127	1	5999982	0.0323584318606098	NAquitaine	14
REG-75	2020-04-01	28	5	1	2	128	1	5999982	0.0323584318606098	NAquitaine	15
REG-75	2020-04-02	29	5	1	2	117	1	5999982	0.0323584318606098	NAquitaine	16
REG-75	2020-04-03	30	5	1	2	126	1	5999982	0.0323584318606098	NAquitaine	17
REG-75	2020-04-04	31	5	1	2	93	1	5999982	0.0323584318606098	NAquitaine	18
REG-75	2020-04-05	32	5	1	2	95	1	5999982	0.0323584318606098	NAquitaine	19
REG-75	2020-04-06	33	5	1	2	110	1	5999982	0.0323584318606098	NAquitaine	20
REG-75	2020-04-07	34	5	1	2	111	1	5999982	0.0323584318606098	NAquitaine	21
REG-75	2020-04-08	35	5	1	2	107	1	5999982	0.0323584318606098	NAquitaine	22
REG-75	2020-04-09	36	5	1	2	93	1	5999982	0.0323584318606098	NAquitaine	23
REG-75	2020-04-10	37	5	1	2	86	1	5999982	0.0323584318606098	NAquitaine	24
REG-75	2020-04-11	38	5	1	2	74	1	5999982	0.0323584318606098	NAquitaine	25
REG-75	2020-04-12	39	5	1	2	75	1	5999982	0.0323584318606098	NAquitaine	26
REG-75	2020-04-13	40	5	1	2	67	1	5999982	0.0323584318606098	NAquitaine	27
REG-75	2020-04-14	41	5	1	2	97	1	5999982	0.0323584318606098	NAquitaine	28
REG-75	2020-04-15	42	5	1	2	59	1	5999982	0.0323584318606098	NAquitaine	29
REG-75	2020-04-16	43	5	1	2	53	1	5999982	0.0323584318606098	NAquitaine	30
REG-75	2020-04-17	44	5	1	2	70	1	5999982	0.0323584318606098	NAquitaine	31
REG-75	2020-04-18	45	5	1	2	61	1	5999982	0.0323584318606098	NAquitaine	32
REG-75	2020-04-19	46	5	1	2	48	1	5999982	0.0323584318606098	NAquitaine	33
REG-75	2020-04-20	47	5	1	2	50	1	5999982	0.0323584318606098	NAquitaine	34
REG-84	2020-03-02	0	37	0	1	26	0	8032377	0.0259584322021785	AURA	0
REG-84	2020-03-03	1	37	0	1	3	0	8032377	0.0259584322021785	AURA	0
REG-84	2020-03-04	2	37	0	1	9	0	8032377	0.0259584322021785	AURA	0
REG-84	2020-03-05	3	37	0	1	15	0	8032377	0.0259584322021785	AURA	0
REG-84	2020-03-06	4	37	0	1	11	0	8032377	0.0259584322021785	AURA	0
REG-84	2020-03-07	5	37	0	1	27	0	8032377	0.0259584322021785	AURA	0
REG-84	2020-03-08	6	37	0	1	0	0	8032377	0.0259584322021785	AURA	0
REG-84	2020-03-09	7	37	0	1	0	0	8032377	0.0259584322021785	AURA	0
REG-84	2020-03-10	8	37	0	1	109	0	8032377	0.0259584322021785	AURA	0
REG-84	2020-03-11	9	37	0	1	53	0	8032377	0.0259584322021785	AURA	0
REG-84	2020-03-12	10	37	0	1	65	0	8032377	0.0259584322021785	AURA	0
REG-84	2020-03-13	11	37	0	1	87	0	8032377	0.0259584322021785	AURA	0
REG-84	2020-03-14	12	37	0	1	38	0	8032377	0.0259584322021785	AURA	0
REG-84	2020-03-15	13	37	0	1	69	0	8032377	0.0259584322021785	AURA	0
REG-84	2020-03-16	14	37	0	1	95	0	8032377	0.0259584322021785	AURA	0
REG-84	2020-03-17	15	37	0	1	92	0	8032377	0.0259584322021785	AURA	0
REG-84	2020-03-18	16	37	0	1	148	1	8032377	0.0259584322021785	AURA	1
REG-84	2020-03-19	17	37	0	1	156	1	8032377	0.0259584322021785	AURA	2
REG-84	2020-03-20	18	37	0	1	87	1	8032377	0.0259584322021785	AURA	3
REG-84	2020-03-21	19	37	0	1	165	1	8032377	0.0259584322021785	AURA	4
REG-84	2020-03-22	20	37	0	1	165	1	8032377	0.0259584322021785	AURA	5
REG-84	2020-03-23	21	37	0	1	299	1	8032377	0.0259584322021785	AURA	6
REG-84	2020-03-24	22	37	0	1	127	1	8032377	0.0259584322021785	AURA	7
REG-84	2020-03-03	1	37	0	2	2	0	8032377	0.0259584322021785	AURA	0
REG-84	2020-03-04	2	37	0	2	2	0	8032377	0.0259584322021785	AURA	0
REG-84	2020-03-05	3	37	0	2	1	0	8032377	0.0259584322021785	AURA	0
REG-84	2020-03-06	4	37	0	2	3	0	8032377	0.0259584322021785	AURA	0
REG-84	2020-03-07	5	37	0	2	4	0	8032377	0.0259584322021785	AURA	0
REG-84	2020-03-08	6	37	0	2	3	0	8032377	0.0259584322021785	AURA	0
REG-84	2020-03-09	7	37	0	2	14	0	8032377	0.0259584322021785	AURA	0
REG-84	2020-03-10	8	37	0	2	14	0	8032377	0.0259584322021785	AURA	0
REG-84	2020-03-11	9	37	0	2	13	0	8032377	0.0259584322021785	AURA	0
REG-84	2020-03-12	10	37	0	2	27	0	8032377	0.0259584322021785	AURA	0
REG-84	2020-03-13	11	37	0	2	37	0	8032377	0.0259584322021785	AURA	0
REG-84	2020-03-14	12	37	0	2	40	0	8032377	0.0259584322021785	AURA	0
REG-84	2020-03-15	13	37	0	2	29	0	8032377	0.0259584322021785	AURA	0
REG-84	2020-03-16	14	37	0	2	46	0	8032377	0.0259584322021785	AURA	0
REG-84	2020-03-17	15	37	0	2	62	0	8032377	0.0259584322021785	AURA	0
REG-84	2020-03-18	16	37	0	2	57	1	8032377	0.0259584322021785	AURA	1
REG-84	2020-03-19	17	37	0	2	82	1	8032377	0.0259584322021785	AURA	2
REG-84	2020-03-20	18	37	0	2	117	1	8032377	0.0259584322021785	AURA	3
REG-84	2020-03-21	19	37	0	2	105	1	8032377	0.0259584322021785	AURA	4
REG-84	2020-03-22	20	37	0	2	120	1	8032377	0.0259584322021785	AURA	5
REG-84	2020-03-23	21	37	0	2	220	1	8032377	0.0259584322021785	AURA	6
REG-84	2020-03-24	22	37	0	2	221	1	8032377	0.0259584322021785	AURA	7
REG-84	2020-03-25	23	37	0	2	237	1	8032377	0.0259584322021785	AURA	8
REG-84	2020-03-26	24	37	0	2	268	1	8032377	0.0259584322021785	AURA	9
REG-84	2020-03-27	25	37	0	2	342	1	8032377	0.0259584322021785	AURA	10
REG-84	2020-03-28	26	37	0	2	232	1	8032377	0.0259584322021785	AURA	11
REG-84	2020-03-29	27	37	0	2	200	1	8032377	0.0259584322021785	AURA	12
REG-84	2020-03-30	28	37	0	2	270	1	8032377	0.0259584322021785	AURA	13
REG-84	2020-03-31	29	37	0	2	230	1	8032377	0.0259584322021785	AURA	14
REG-84	2020-04-01	30	37	0	2	163	1	8032377	0.0259584322021785	AURA	15
REG-84	2020-04-02	31	37	0	2	168	1	8032377	0.0259584322021785	AURA	16
REG-84	2020-04-03	32	37	0	2	202	1	8032377	0.0259584322021785	AURA	17
REG-84	2020-04-04	33	37	0	2	145	1	8032377	0.0259584322021785	AURA	18
REG-84	2020-04-05	34	37	0	2	115	1	8032377	0.0259584322021785	AURA	19
REG-84	2020-04-06	35	37	0	2	172	1	8032377	0.0259584322021785	AURA	20
REG-84	2020-04-07	36	37	0	2	142	1	8032377	0.0259584322021785	AURA	21
