rep,id,transmission,ascertainment
4,HDF,0.86090920208344,0.239236639828389
5,HDF,0.775699652993698,0.301464266450553
6,HDF,0.81911855218042,0.270799214219301
7,HDF,0.779073242648673,0.307724785446693
8,HDF,0.809823279767514,0.26423768994139
9,HDF,0.709231522935631,0.380301919760604
10,HDF,0.696562026188147,0.377302189740884
1,GrandEst,1.46943837536135,0.999708800974956
2,GrandEst,1.47315819653462,0.999937301888795
3,GrandEst,1.48226890322799,0.99982747130025
4,GrandEst,1.48406695323542,0.999993387320088
5,GrandEst,1.47352833740987,0.999531791925008
6,GrandEst,1.48081950791822,0.999991915447684
7,GrandEst,1.48521914026336,0.999999089407605
8,GrandEst,1.49741939794517,0.997086417125349
9,GrandEst,1.47893079622597,0.999990788335967
10,GrandEst,1.46899279102174,0.99887676386656
1,PaysLoire,0.945532379502331,0.999960402848802
2,PaysLoire,0.950616206125008,0.973376359026715
3,PaysLoire,0.991827113769261,0.858163812719332
4,PaysLoire,1.01573031859479,0.695854667472679
5,PaysLoire,0.944758442268355,0.961846938024487
6,PaysLoire,0.975719085283953,0.907258263888494
7,PaysLoire,1.0160371692769,0.800925601921407
8,PaysLoire,0.940140983635454,0.999985564029868
9,PaysLoire,0.915044431117228,0.999281241617021
10,PaysLoire,0.964957024568855,0.99739619766845
1,Bretagne,0.975894477330444,0.284685351790768
2,Bretagne,1.05456322636567,0.24655143778229
3,Bretagne,0.920648048970356,0.338944730312953
4,Bretagne,0.916418376443758,0.311664091008854
5,Bretagne,0.955773575396301,0.318974591402222
6,Bretagne,1.00821097826602,0.261445710607446
7,Bretagne,0.880883988691317,0.406276043717003
8,Bretagne,0.921758769949007,0.342937968938259
9,Bretagne,0.924841236506037,0.310528209699454
10,Bretagne,0.949337916586768,0.32220770689476
1,NAquitaine,1.37660524864641,0.795527782803135
2,NAquitaine,1.43339622838112,0.691253141102004
3,NAquitaine,1.40529846258504,0.65633670317032
4,NAquitaine,1.48822015713276,0.543756322897696
5,NAquitaine,1.39548743117235,0.772532903735709
6,NAquitaine,1.4131430222132,0.684663474132703
7,NAquitaine,1.32638839796486,0.942962037385816
8,NAquitaine,1.41550401366635,0.714957377891107
9,NAquitaine,1.43869220027712,0.654603775679115
10,NAquitaine,1.46076635257114,0.576913538468614
1,Occitanie,1.22255589644731,0.999797253849227
2,Occitanie,1.22996952552106,0.996801145429615
3,Occitanie,1.21961148078657,0.999996511621448
4,Occitanie,1.22692801453181,0.984585171818165
5,Occitanie,1.21839201106716,0.999960862967503
6,Occitanie,1.21417340274839,0.998899501185566
7,Occitanie,1.22260955696133,0.9841624150046
8,Occitanie,1.20468157481822,0.999042291713808
9,Occitanie,1.22702415644147,0.989488742239211
10,Occitanie,1.22770214074422,0.999021873788276
1,AURA,1.10396807325196,0.264800546630599
2,AURA,1.03215870887301,0.355767034189725
3,AURA,1.06865270912738,0.303564021219804
4,AURA,1.11424399889365,0.273472759995576
5,AURA,1.08428548557629,0.277790829609442
6,AURA,1.08454203325101,0.288331477681977
7,AURA,1.08736492857038,0.296310310889654
8,AURA,1.07236304058977,0.314166950435229
9,AURA,1.06910804554513,0.320072106138858
10,AURA,1.11699627477775,0.255552946621621
1,PACA,1.20499985103965,0.999605947921955
2,PACA,1.23112491880621,0.998223737184213
3,PACA,1.2222458725499,0.999368046780643
4,PACA,1.22152822769752,0.999996474431411
5,PACA,1.18259757867085,0.990477190099887
6,PACA,1.22553190387229,0.996330537487623
7,PACA,1.2245969230126,0.998409554425644
8,PACA,1.22230625690696,0.999394536204164
9,PACA,1.2258452053691,0.99984499371502
10,PACA,1.20014401335813,0.991043229669004
1,Corse,1.36656707472285,0.999322659864014
2,Corse,1.30296864574216,0.999945988223117
3,Corse,1.3024361640079,0.999961820421369
4,Corse,1.38198026480404,0.99996156321682
5,Corse,1.3193362145909,0.999995270534911
6,Corse,1.43455118649549,0.999973384579579
