rep,id,eta_transmission,eta_ascertainment
3,AURA,-0.148702926679484,-5.32868028411133
4,AURA,-0.106925484360036,-5.47537090298418
5,AURA,-0.134180399987932,-5.45374333251892
6,AURA,-0.133943822691042,-5.40179840691769
7,AURA,-0.131344358755827,-5.36322716859136
8,AURA,-0.145236968825419,-5.2790066411418
9,AURA,-0.148276932869242,-5.2517373969257
10,AURA,-0.104458446352077,-5.56750906182968
1,PACA,-0.028622188085115,3.34033640497254
2,PACA,-0.00717331185234634,1.83316887634536
3,PACA,-0.0144115858661463,2.86776608866382
4,PACA,-0.014998910916305,8.05716836241055
5,PACA,-0.0473882744691812,0.146199929461332
6,PACA,-0.0117266744104875,1.10573692561729
7,PACA,-0.0124898839975267,1.94385240997728
8,PACA,-0.0143621826594424,2.91061319686195
9,PACA,-0.0114710617613077,4.2735929304002
