rep,id,b1,Dq,E0,A0,betat1,eta_b1,eta_Dq,eta_E0,eta_A0,eta_betat1
2,4,-0.23458692193449,1.6868500759049,6.30750447961591,6.59327033788629,0.0860672399662862,0.0647467879901295,1.60385828809231,-0.773766582198855,0.708049209692504,0.224351178279345
3,4,-0.0655418424540143,1.4348115522603,5.59625750148948,6.45514284510018,-0.234481261729914,0.233791867470605,1.35181976444771,-1.48501356032529,0.56992171690639,-0.0961973234168557
4,4,-0.243179366807348,1.82145906753794,5.92935054593863,6.93125489380089,-0.0482615118625666,0.0561543431172711,1.73846727972535,-1.15192051587614,1.0460337656071,0.0900224264504921
5,4,-0.154540410038944,1.42132939133463,5.86296757942013,6.53103413817949,-0.0831117122272866,0.144793299885675,1.33833760352204,-1.21830348239464,0.645813009985696,0.0551722260857721
1,5,-0.397801362202615,-0.439961505702719,6.3292378783782,6.34177188139835,-0.208514820162782,-0.0984676522779957,-0.522953293515313,-0.752033183436573,0.456550753204565,-0.0702308818497228
2,5,-0.317804718321838,-0.0152134042649323,5.90204593495481,6.2874225283562,-0.356498450608048,-0.0184710083972187,-0.0982051920775259,-1.17922512685996,0.402201400162413,-0.218214512294989
3,5,-0.361569785388981,-0.281225175107558,5.70266234013274,6.40378069988286,-0.265581583781044,-0.0622360754643611,-0.364216962920152,-1.37860872168203,0.51855957168907,-0.127297645467985
4,5,-0.379869524361262,-0.132611094059036,6.25531463374756,6.28630040002893,-0.216318642406168,-0.0805358144366426,-0.21560288187163,-0.825956428067204,0.401079271835138,-0.0780347040931094
5,5,-0.401751746048215,-0.377613902704425,6.63110376128348,5.99263342556007,-0.158203019844293,-0.102418036123596,-0.460605690517019,-0.450167300531285,0.107412297366278,-0.019919081531234
1,6,-0.463039608399573,1.43659937106353,8.35747974838793,3.97585280560371,0.174585971289692,-0.163705898474953,1.35360758325093,1.27620868657316,-1.90936832259007,0.312869909602751
2,6,-0.326951438995642,1.09639510060507,7.9245950196043,5.58176829444044,-0.0428927998929092,-0.0276177290710228,1.01340331279248,0.843323957789527,-0.303452833753346,0.0953911384201496
3,6,-0.501067572965889,1.27329830297869,8.32485528204413,5.71797964095746,0.162804974804721,-0.20173386304127,1.1903065151661,1.24358422022936,-0.167241487236325,0.30108891311778
4,6,-0.522644098512081,1.18786031868541,8.26274335131288,5.41382399889481,0.184813490667082,-0.223310388587462,1.10486853087281,1.18147228949811,-0.471397129298979,0.323097428980141
5,6,-0.527571410331434,1.30885636580585,8.14907525165878,6.32276454341667,0.266241595893258,-0.228237700406815,1.22586457799326,1.06780418984401,0.437543415222877,0.404525534206317
1,7,-0.556959864798518,0.760504370069409,8.10513392742308,5.13587733310738,0.380584771729769,-0.257626154873899,0.677512582256815,1.02386286560832,-0.749343795086411,0.518868710042828
2,7,-0.613913502210275,0.737604333663641,8.19168968210767,6.03588968040618,0.43530530491701,-0.314579792285655,0.654612545851047,1.1104186202929,0.150668552212388,0.573589243230069
