rep,id,b1,Dq,E0,A0,betat1
3,AURA,0.829442371951734,0.799999017687381,1839.63021016315,50.0366890153508,-0.312297221354965
4,AURA,0.827825037907143,0.809230841346206,1717.34430862958,151.781600225343,-0.312297221354965
5,AURA,0.844711834310876,0.642923587232212,1745.93645160495,42.838076209126,-0.312297221354965
6,AURA,0.813817032474611,0.892008187642634,1787.63694912707,172.169892256627,-0.312297221354965
7,AURA,0.855452579607505,0.752678245402174,1634.82634515741,33.3374475182746,-0.312297221354965
8,AURA,0.843646382996315,0.579350404365426,1768.33005252852,10.4075514933328,-0.312297221354965
9,AURA,0.836851783999608,0.708844398265134,1803.94299446186,39.2051939754584,-0.312297221354965
10,AURA,0.85202051490976,0.73913382786082,1599.14321518697,87.3890044609385,-0.312297221354965
1,Centre,1.06878617347391,4.67154476615849,495.027186268737,297.637154424779,-0.312297221354965
2,Centre,0.95495847943508,5.18419683276867,366.44320007428,585.51296990031,-0.312297221354965
3,Centre,0.969509453789764,4.05145787291952,448.863548509352,470.312987327433,-0.312297221354965
4,Centre,0.987251221142614,4.52200222526406,610.842344773862,412.257943646378,-0.312297221354965
5,Centre,1.00941899593066,5.14683645531401,373.969349357316,457.444180675817,-0.312297221354965
6,Centre,1.00515469169577,3.79847285969362,343.663896110166,467.144688657731,-0.312297221354965
7,Centre,0.990198796794813,4.4623928129975,446.967589578957,464.987337785525,-0.312297221354965
8,Centre,0.955284647517121,4.35911685973698,604.782620671233,419.100966193946,-0.312297221354965
9,Centre,0.988885989770193,4.35600461270678,329.872761786937,494.786578022808,-0.312297221354965
10,Centre,0.972497540688832,4.43528829802177,312.118829183097,544.096715796847,-0.312297221354965
1,BFC,0.719363079474049,0.745996295826442,283.779805277039,431.321545166571,-0.312297221354965
2,BFC,0.721367534788748,0.825764572020766,439.102350351413,323.103502427815,-0.312297221354965
3,BFC,0.719818945864857,0.797447164249166,600.529579551655,237.583147067347,-0.312297221354965
4,BFC,0.70978729044797,0.772486609949779,365.382669522616,401.9642243568,-0.312297221354965
5,BFC,0.706901684668905,0.842507517081303,387.867289209608,398.30426673572,-0.312297221354965
6,BFC,0.710018745415236,0.693474815210559,271.674300993823,457.607416266727,-0.312297221354965
7,BFC,0.688768918389744,0.889576022331857,563.625081964627,370.088523308506,-0.312297221354965
8,BFC,0.73000942514236,0.884099647736634,709.262385082603,178.251269305053,-0.312297221354965
9,BFC,0.736282787639528,0.882843224289894,646.318042009148,162.446860961752,-0.312297221354965
10,BFC,0.709462239203379,0.691637026038546,450.741832409188,356.417630383269,-0.312297221354965
