rep,id,eta_b1,eta_Dq,eta_E0,eta_A0,eta_betat1
2,HDF,0.125619429244057,0.70683865303389,0.654363087892822,-1.60171458557465,0
3,HDF,0.10451908521422,0.730609866645707,0.762281555545837,-1.14330216552901,0
4,HDF,0.128234473275142,0.646619401491978,0.680409658433943,-2.2867046613756,0
5,HDF,0.0925926174033753,0.687438325143328,0.845131267920831,-2.32921932737468,0
6,HDF,0.11664990019241,0.784434018587866,0.738058514337786,-2.02725492319622,0
7,HDF,0.121254035004283,0.640136790775174,0.65735963772922,-1.39146443167929,0
8,HDF,0.127545315603823,0.739486914711729,0.658322008634033,-2.26160814555797,0
9,HDF,0.123632814722731,0.718122728370385,0.675598761551232,-1.23681469964697,0
10,HDF,0.0944198495724958,0.659984027845366,0.808787472343612,-2.13827341839387,0
1,GrandEst,0.0765612058921726,0.890264318614018,-0.506729344969575,1.73998473314754,0
2,GrandEst,0.0882638906397423,0.849988767280261,-0.116331459563346,1.49486785007105,0
3,GrandEst,0.0730746305284032,0.871444755845687,-0.378332934746146,1.7053170720051,0
4,GrandEst,0.0718559663337041,0.871658512280115,-0.106134682287943,1.62867265715212,0
5,GrandEst,0.0764374348214057,0.877714668110388,-0.0557134120643099,1.58750631754026,0
6,GrandEst,0.062004746825833,0.846861191323977,-0.597941883378341,1.83181186987909,0
7,GrandEst,0.0690860898312916,0.890104117768419,-0.0139495036505282,1.60448953342576,0
8,GrandEst,0.0816670853978824,0.902966822741257,0.158445657303827,1.43473767701176,0
9,GrandEst,0.0876604391373074,0.879053067574997,-0.444695195210579,1.65505193844078,0
10,GrandEst,0.0738184044783607,0.901005592250602,-0.200364461853978,1.65744789150276,0
1,PaysLoire,0.273927134448902,-4.31153559527026,-0.171623111051972,-1.39851114494618,0
2,PaysLoire,0.257997590026928,-3.82413774849229,-0.200793208525588,-0.742610416842795,0
3,PaysLoire,0.250765751892859,-3.33727834581306,-0.033030431744065,-0.979844840444288,0
4,PaysLoire,0.281433170649211,-3.29294935983973,-0.225209204025819,-1.01722400763223,0
5,PaysLoire,0.25308028720866,-4.0149807057647,-0.0179300628735125,-1.24827580823133,0
6,PaysLoire,0.255902313118779,-3.59786871153855,-0.0945716114116756,-1.16794883288622,0
7,PaysLoire,0.254889050792937,-3.59408672453169,-0.342077105019679,-0.0851690274069004,0
8,PaysLoire,0.244006939304134,-4.22542317230371,0.0337047721839163,-1.25290264168781,0
9,PaysLoire,0.250360020742761,-3.94094747677768,-0.0142444206517075,-1.32555465387622,0
10,PaysLoire,0.261169324248755,-3.45368169554253,0.0159045536472133,-2.56174768522989,0
1,Bretagne,0.0118370396367134,0.357879125613372,-0.0348067243252436,-1.78971338599496,0
2,Bretagne,0.0828209878712049,0.49571696444783,-0.169381646641961,-3.58878663235213,0
3,Bretagne,0.0216950401154436,0.234567298480704,-0.027465815968603,-3.10085436864479,0
4,Bretagne,0.0542444469269719,0.413926362567499,-0.0664594532228858,-2.6502898004075,0
5,Bretagne,0.0739409660529557,0.393564094833539,-0.236495325730985,-2.63094695108709,0
6,Bretagne,0.0301530368345493,0.206426485814192,-0.1179827276675,-1.54591976804311,0
7,Bretagne,0.0446018091223386,0.388585472526115,-0.287337950579413,-0.700725335748754,0
8,Bretagne,0.0443048015568754,0.276631373305162,-0.245166203833217,-0.932268981910901,0
9,Bretagne,0.0719640548935076,0.463120821528976,-0.389669984267409,-0.879680517813931,0
10,Bretagne,0.0691832733250714,0.649144530125899,-0.153761346111021,-2.46300500988371,0
1,Occitanie,0.148192314584251,-0.213840220214553,-0.338550834340828,-1.48126735598332,0
2,Occitanie,0.128077566837421,-0.13668706120004,-0.21445044813951,-1.53642016946458,0
3,Occitanie,0.122819242830711,-0.0814692859757439,-0.117817388805595,-2.53359082175935,0
4,Occitanie,0.156334724820149,-0.40235321664499,-0.590733574060364,-0.808370471893976,0
5,Occitanie,0.150102647399394,-0.520116582007426,-0.502086582551959,-0.932156347669713,0
6,Occitanie,0.149051059720232,-0.0809409839571479,-0.246748560166614,-2.06534887315212,0
7,Occitanie,0.141488829126747,-0.383090914901169,-0.223563190071556,-2.83849175616178,0
8,Occitanie,0.12765040069414,-0.443023111395324,-0.205058768773187,-1.52242343412737,0
9,Occitanie,0.132672501008093,-0.0833315685007633,-0.360687034539742,-0.815564191958272,0
10,Occitanie,0.12564131423176,-0.3902493066645,-0.852027889872109,0.0381967557201256,0
1,PACA,0.120932127299443,-0.140575833350801,-0.553144108939356,-0.531090506568204,0
2,PACA,0.123464478816295,-0.121641014968962,-0.279042628263084,-1.67687813285463,0
3,PACA,0.125723077972129,-0.0630265060800769,-0.657076809207989,-0.266013217354749,0
4,PACA,0.114860831832972,-0.1524259000168,-0.261334289712375,-1.60830363719045,0
5,PACA,0.126190995681751,-0.145273976188956,-0.302805853033709,-1.64602356707846,0
6,PACA,0.128606466914959,-0.129762475163122,-0.652803398603998,-0.341054683053296,0
7,PACA,0.136422583821763,-0.0798198256699422,-0.285748255574737,-2.47548945121005,0
