rep,id,eta_b1,eta_b2,eta_Dq,eta_E0,eta_A0
1,AURA,0.123689979455525,-0.149562854483409,0.529603263020292,-0.494122560765515,0.674178844026344
2,AURA,0.11563827329491,-0.15857463947494,0.543306925104599,-0.0176797341118711,0.408641151016933
3,AURA,0.117359988714668,-0.219125532582939,0.397388252402663,-0.10601448341487,0.515543724529579
4,AURA,0.121268620471582,-0.127994483031464,0.449842985593219,-0.0611193905357715,0.321457712073299
5,AURA,0.117008841867857,-0.20194182828938,0.59853864185584,-0.384834711207437,0.716612579435057
6,AURA,0.133258927238302,-0.10555486869449,0.634722325901631,-0.333225052082082,0.499832474273584
7,AURA,0.103229355809537,-0.107719734106702,0.467460989485617,-0.262117181031415,0.657889737503288
8,AURA,0.107462704968802,-0.111989368392395,0.352443534265822,0.0211397125204741,0.365405902413335
9,AURA,0.104758063320403,-0.167398440913444,0.556469555231306,-0.768795690189053,0.953153588079758
10,AURA,0.128180998247052,-0.133922549563458,0.454307584742756,-0.115023226036649,0.379948548871053
1,Centre,0.240082576728534,0.394069698043994,1.4968364125513,-0.463360830058175,-1.29828572856546
2,Centre,0.152332066646171,0.518148228538842,1.34593967673851,-0.272773526695473,-2.19472107631012
3,Centre,0.363938728710119,0.41133126109996,1.26999049072654,-0.784010545359984,-2.7175535872301
4,Centre,0.265222424155537,0.423939474042482,1.40884517853662,-0.44784802472047,-2.53391954078191
5,Centre,0.199317849756754,0.396716503848078,1.27641464557418,-0.542153945673937,-0.783060501718171
6,Centre,0.234021625981427,0.386491356938367,1.46090322645301,-0.216334028662503,-3.50552339979187
7,Centre,0.427970725129871,0.368451832812557,1.10008699307459,-0.948971966738812,-2.15548161695464
8,Centre,0.298306145067427,0.417646338589257,1.65376937274582,-0.468947904984131,-3.22785601331048
9,Centre,0.126190493427707,0.443041113845071,1.59470728066903,-0.23891235957061,-1.09560423460197
10,Centre,0.173048293261319,0.363679000146655,1.22399240841034,-0.515782129911301,-0.836466325015493
1,BFC,-0.0426423696359696,-0.0465247341711829,-0.00736176770466183,-1.09105551337507,0.906270922735103
2,BFC,-0.0479962589913259,0.0536348691684069,-0.228007680789352,-0.557893692090665,0.582195808579752
3,BFC,-0.026590879847878,0.0385823796208169,-0.0662305787940498,-1.33556446849614,0.864046364560093
4,BFC,-0.0621056977124659,-0.0105440960963364,-0.235697423703921,-1.47732063365672,1.04182908786943
5,BFC,-0.0357487401186815,-0.140253246389069,-0.0195383098740725,-0.939407360540166,0.834360188839072
6,BFC,-0.0729344928629379,0.0358097216357753,-0.0732000025528564,-0.834873115869729,0.841899842435132
7,BFC,-0.00117805293741831,-0.0262116669964425,0.0652641353423568,-1.1102181149036,0.663069860473873
8,BFC,-0.105545518223991,0.0544591647939306,-0.282781660022645,-1.63361853669888,1.14094813257924
9,BFC,-0.0725300652148286,-0.0421280572064167,-0.116541947425366,-0.306074712672671,0.741500676045883
10,BFC,-0.0283107743848073,-0.0579539074409739,-0.153360446962381,-0.344939233954516,0.421620246686173
1,Normandie,0.0564007587639705,0.267419055131568,1.33510017800298,1.62291784899579,0.770858299011456
2,Normandie,-0.0436554851502186,0.21104521597161,1.30537027658908,1.83449567092634,-0.505699070429824
3,Normandie,-0.167219101139116,0.304540093942769,1.39769344897509,1.35283853322776,2.05072446097111
4,Normandie,-0.0655118639812477,0.217532279579507,1.31622648173231,1.58011337667969,1.51756487434837
5,Normandie,0.117431878918877,0.196174939856887,1.21840800160203,1.69724345681502,-0.520336677918377
6,Normandie,0.0331042325612452,0.312639880508785,1.27206470935538,1.66224786899727,-0.607779515895559
7,Normandie,-0.0790065140095903,0.291583587157419,1.68615940501148,1.16899492239071,2.07833537790139
8,Normandie,-0.00571849161911683,0.230983089055942,1.62452969472838,1.8203367997792,-0.137093448957727
9,Normandie,-0.148042237344446,0.331049805998021,1.55596274209591,1.99883774071455,-1.88537574747461
10,Normandie,-0.050873838787251,0.281454950922994,1.43208905928771,1.77684870223876,0.809963504117371
1,HDF,-0.283878076249049,0.407890826578451,0.850948407740524,1.32762538435978,1.35854036018628
2,HDF,-0.23591932624428,0.426808706483667,1.04493141775865,1.51447871665244,-0.949888330563968
3,HDF,-0.263818486490761,0.442777788358277,1.03279527942077,1.32488197663207,1.00429637380822
4,HDF,-0.22997286382857,0.362140190553274,0.972195527570983,1.53695987050749,-0.430022280011113
5,HDF,-0.315325898947525,0.519754747116816,0.829777395024717,1.25254222144838,1.3745893267932
6,HDF,-0.247840444820358,0.431585208016787,0.953460708758257,1.49278711586492,-0.579033321257126
7,HDF,-0.294102129550204,0.482315248537244,0.956131359639718,1.41734772841719,0.784431487456171
8,HDF,-0.304384937955459,0.433720825784438,0.966339271232544,1.70332234613379,-2.79980708865135
9,HDF,-0.281228693434716,0.433263238720666,0.847409219075005,1.33037691437563,1.21984249984907
10,HDF,-0.293874984954145,0.471802718445043,0.760503278181771,1.61516853864836,-1.13229995844848
1,GrandEst,0.0860722458229939,-0.0543313099108864,0.980270308642848,-0.56499191282347,1.76374681412655
2,GrandEst,0.0519727766124948,0.0122384526283637,0.981395508628804,-0.188280751927979,1.79771587704406
3,GrandEst,0.0837046614284159,-0.0334865555402905,0.892467560524748,-0.750460640903802,1.80466067992752
