rep,id,transmission,ascertainment
8,Bretagne,1.2827518783805,0.15540732114472
9,Bretagne,1.29371654171438,0.163901697807731
10,Bretagne,1.29720918341788,0.129285174244847
1,NAquitaine,1.39972765717509,0.427338300324931
2,NAquitaine,1.45775308835646,0.406546023974751
3,NAquitaine,1.50245097375328,0.408987141572256
4,NAquitaine,1.47487533771129,0.446374516135352
5,NAquitaine,1.47209331827121,0.487683076493199
6,NAquitaine,1.42593230886685,0.444808732566832
7,NAquitaine,1.3471390793904,0.578485106464982
8,NAquitaine,1.38511041727387,0.544984996812271
9,NAquitaine,1.37403473321986,0.489367869857699
10,NAquitaine,1.52706737185222,0.360680052343806
1,Occitanie,1.50237911878462,0.432095962706238
2,Occitanie,1.33742416753045,0.582711976581699
3,Occitanie,1.63072943865052,0.369225955493945
4,Occitanie,1.44641921695346,0.518280171793128
5,Occitanie,1.53880385990138,0.459608246253824
6,Occitanie,1.4188422727346,0.540997388753743
7,Occitanie,1.35344046862475,0.582650990085118
8,Occitanie,1.55289317826774,0.448622031125355
9,Occitanie,1.49273441012513,0.475936085979216
10,Occitanie,1.47883599489229,0.492579990709049
1,AURA,1.56650460602715,0.162089664116613
2,AURA,1.57955782582992,0.159480686892057
3,AURA,1.51142294922005,0.181673302714022
4,AURA,1.61282574729516,0.150712889422745
5,AURA,1.53959316629636,0.17854377018481
6,AURA,1.47322559102896,0.188652524991374
7,AURA,1.64429055221841,0.142748042518119
8,AURA,1.54508248111296,0.163052640233688
9,AURA,1.54858355813845,0.178965190592133
10,AURA,1.66377880030763,0.146326265974069
1,PACA,1.66762124384993,0.380646971510786
2,PACA,1.81464783018032,0.290814180921689
3,PACA,1.88722575685549,0.284234137042128
4,PACA,1.99978893181956,0.235710542763827
5,PACA,1.7772854427512,0.303153786705763
6,PACA,1.77091626638671,0.29761925605081
7,PACA,1.87728944781026,0.263814565566601
8,PACA,1.93013281523673,0.252342930702996
9,PACA,1.86022891626873,0.304541065664878
10,PACA,2.0112033112805,0.238581174802332
1,Corse,0.862023291515825,1.63546102220823
2,Corse,1.16387533718753,1.25638078339686
3,Corse,1.10926657097899,1.37551048243205
4,Corse,1.42447056119417,0.675315709364487
