rep,id,eta_transmission,eta_ascertainment
1,Mayotte,-0.390933102818937,-0.207591764314086
2,Mayotte,-0.0649583481621183,0.0899990898931296
3,Mayotte,-0.229683646082152,-0.874015627978696
4,Mayotte,-0.19261659867362,0.938724993849288
5,Mayotte,0.524116378961462,0.114280209832668
6,Mayotte,-0.0692846546074586,-0.858440377420837
7,Mayotte,0.0298832543537071,-1.04867606526342
8,Mayotte,0.179676082393575,-0.611427404000866
9,Mayotte,0.0794510684256634,1.12042671531754
10,Mayotte,-0.303053334129339,0.115344000465855
1,IDF,0.39572028556923,-0.268785351052583
2,IDF,0.424155210553327,-0.335293911353528
3,IDF,0.431935970888994,-0.401319837185034
4,IDF,0.419880643839725,-0.381406787036523
5,IDF,0.398550534889045,-0.281006057129114
6,IDF,0.420083145795254,-0.362615715677834
7,IDF,0.458375583007693,-0.467425888001234
8,IDF,0.398550534889045,-0.271713785675151
9,IDF,0.422143100627565,-0.296439098390711
10,IDF,0.410383385814426,-0.301063849475243
1,Centre,0.241769257007338,-0.897535210005076
2,Centre,0.13127069533977,-0.666016522052804
3,Centre,0.363099334983433,-1.14532684860692
4,Centre,0.303974106477284,-1.19952782564249
5,Centre,0.168979351624494,-0.791990300369383
6,Centre,0.2273583818033,-0.890669097819087
7,Centre,0.43690897434719,-1.47048464080292
8,Centre,0.519874759521048,-1.73106055803036
9,Centre,0.131045745345142,-0.589973245328233
10,Centre,0.366916532384666,-1.26064294586221
1,BFC,-0.0658216492030862,-0.213343772974753
2,BFC,-0.036233825917502,-0.185367428120049
3,BFC,-0.186979930932733,0.119855481416071
4,BFC,-0.0992612571497293,-0.10864469267815
5,BFC,-0.182007447539014,0.054520438850276
6,BFC,-0.113498193684087,-0.109479371469442
7,BFC,-0.247812676628797,0.202084730393602
8,BFC,-0.0737264555267329,-0.246369390928126
9,BFC,-0.0932044820169901,-0.129048030866589
10,BFC,-0.241545121691461,0.188608689926567
1,Normandie,-0.0214693538488424,0.826121013131237
2,Normandie,-0.0049813063854792,0.728750838516498
3,Normandie,-0.0127110397699069,0.789443212255442
4,Normandie,0.0250282236000406,0.642329691825803
5,Normandie,-0.0225985611459618,0.849379993161987
6,Normandie,-0.00333809097706821,0.713736016299351
7,Normandie,0.0406389942433006,0.629261174743918
8,Normandie,-0.0308449783359712,0.794686315810326
9,Normandie,0.0757930308873522,0.693179648390378
10,Normandie,-0.0769922854186247,0.763084955858799
1,HDF,-0.52001271190983,-0.127142841697728
2,HDF,-0.379070787217634,-0.341049484787124
3,HDF,-0.447007238397315,-0.178760428015067
4,HDF,-0.505639166591522,-0.106383659501075
5,HDF,-0.41665256782758,-0.254926119861476
6,HDF,-0.418697215560639,-0.217575303390744
7,HDF,-0.380473190530635,-0.31033941320241
8,HDF,-0.320517778341484,-0.346900785348735
9,HDF,-0.443239198251596,-0.187929919358694
10,HDF,-0.42862908725403,-0.262734761733036
1,GrandEst,0.0561273076884195,0.308551501172164
2,GrandEst,0.127201964286453,0.220557994932106
3,GrandEst,0.11305800669712,0.202357820078483
4,GrandEst,0.0556424481722715,0.306909193007073
5,GrandEst,0.0854973478677756,0.282164337690132
6,GrandEst,0.11305800669712,0.202357820078483
7,GrandEst,0.00790629543668595,0.429342047412796
8,GrandEst,0.0512529541149138,0.308455287044221
9,GrandEst,0.0962268630065713,0.214616034137168
10,GrandEst,0.0630295658794736,0.321738991574641
1,PaysLoire,-0.0339642230306979,-0.271595770277982
2,PaysLoire,-0.166890925545391,0.158968663701461
3,PaysLoire,-0.0582981730359221,-0.0716436585974115
4,PaysLoire,-0.105710729241829,0.0102848949721275
5,PaysLoire,-0.0552885096719252,-0.105540279607485
6,PaysLoire,-0.209330437080329,0.160393486106182
7,PaysLoire,0.0297026362482806,-0.479648634567366
8,PaysLoire,-0.228267832108852,0.161311529343322
9,PaysLoire,-0.0627471250508018,0.0761417815879379
10,PaysLoire,0.0298775799123528,-0.462503837437779
1,Bretagne,-0.359023596096913,-0.176252600749119
2,Bretagne,-0.281976531818794,-0.327852272146732
3,Bretagne,-0.293166184658507,-0.323922863125617
4,Bretagne,-0.145020051233565,-0.512155345432202
5,Bretagne,-0.252800427627163,-0.20467694460697
6,Bretagne,-0.292861608639479,-0.289232089437158
7,Bretagne,-0.282241433204166,-0.417964889087233
8,Bretagne,-0.213229738453314,-0.350896885042559
9,Bretagne,-0.155433195302896,-0.472569367546533
10,Bretagne,-0.319634524729916,-0.386765338180113
1,NAquitaine,-0.0600195504842037,0.717728284629883
2,NAquitaine,0.0115305890009362,0.523815250852551
3,NAquitaine,0.07353676833909,0.366854598176296
4,NAquitaine,-0.0673291330736885,0.643011706980911
5,NAquitaine,-0.0251114314833143,0.681024782177748
6,NAquitaine,-0.0292192821685274,0.580707642585057
7,NAquitaine,-0.114960589853207,0.799535327675037
8,NAquitaine,-0.0313884752878991,0.723371296212317
9,NAquitaine,0.0164858287596655,0.662833441295557
10,NAquitaine,0.123904216400381,0.297843092393706
1,Occitanie,0.0542477383645331,0.54873948437039
2,Occitanie,0.00982738068459804,0.590667306267645
3,Occitanie,0.096244831252757,0.552727095356736
4,Occitanie,0.0980854200982058,0.427577677005435
5,Occitanie,0.0490302129767137,0.609773009766771
