rep,id,b,Dq,E0,A0,Di
3,HDF,0.569765819829177,12.9655359471301,2733.37236835511,1049.20302912494,81.2615853276623
4,HDF,0.575534726330332,10.7594670146879,3305.2794110028,866.556058232136,62.7768920740854
5,HDF,0.56796175308311,12.858851505532,3113.8361011336,900.191804887421,84.0243109517134
6,HDF,0.604738630072019,9.57204588670566,3464.15866368291,416.823722056804,83.2001694593579
7,HDF,0.608007085106548,13.4522881478564,2991.49301819591,544.271223241424,101.54283092432
8,HDF,0.530343649655461,13.4672951908466,3689.66267653007,801.258965615512,202.204336860305
9,HDF,0.576531067203223,13.7560862921057,4194.13115655816,280.865332556101,95.584446747654
10,HDF,0.572350847292316,11.786130976199,3630.33224389449,563.374329648841,74.63252757988
1,GrandEst,0.605022336437863,7.92169036366457,332.518174496806,4262.26696719523,22.4076559402725
2,GrandEst,0.572918368509976,8.00293603437342,333.627067652128,4310.46887502676,29.681301394115
3,GrandEst,0.575852835936278,7.44183757636081,285.601556022935,4159.06150989082,32.5436403838065
4,GrandEst,0.589437001869293,8.38124952982374,227.403337071905,4240.02135012351,26.4744236248718
5,GrandEst,0.583986251722862,8.65485444088684,647.685499058302,4122.25851520609,26.9172429488818
6,GrandEst,0.586870448770541,7.80096293307051,229.399111365228,4187.48754219307,28.2878732069945
7,GrandEst,0.585202557092883,8.32687003752244,206.422780858603,4282.76434211664,27.3112252142227
8,GrandEst,0.545392026905772,9.20588655933323,565.891299563456,4327.91885809355,40.2855823624744
9,GrandEst,0.597667558829984,7.90953249753481,375.453595578287,4160.59548587926,23.9824600093822
10,GrandEst,0.60205852165286,8.01850006876622,508.66150621189,3915.49413534342,27.7337908420232
1,PaysLoire,0.676338978606352,0.270592665661202,2516.65222830938,3451.11303926004,11.2377283916998
2,PaysLoire,0.531003314722861,0.228917384820955,1628.87997080601,3898.48423925603,26.4088156820962
3,PaysLoire,0.452868097957635,0.181647885440421,1431.19966483033,4902.60010766388,57.1916643290019
4,PaysLoire,0.619001456218348,0.139203263287569,2633.64773596279,2425.67179443585,20.8129533592276
5,PaysLoire,0.583666165827219,0.404006649441668,4144.21951668371,1363.50830164061,45.5902632702818
6,PaysLoire,0.868957981078384,0.150394862070062,2594.54562389373,2205.12948078936,7.87411567819979
7,PaysLoire,0.65695336244982,0.22635119366107,2037.88220345933,2715.48388926001,16.6204269479581
8,PaysLoire,0.559902953246761,0.184876309586123,1597.3164988222,4663.21280280709,18.0093627854125
9,PaysLoire,0.764102118340938,0.131373954650176,2497.26594347211,2309.19063513745,10.5861395694703
10,PaysLoire,0.910075964218734,0.0542230425134639,1585.75294911756,2255.15046824842,7.3098906939491
1,Bretagne,0.728236402007776,10.9007394264618,1334.89116337129,433.10025034108,11.5203578688421
2,Bretagne,0.567868173907459,12.6563157011423,1092.55109089623,1025.77988063914,21.7292492433074
3,Bretagne,0.744465791826315,7.31620716298382,1053.83313150715,918.972753464419,9.11484013416532
4,Bretagne,0.502404083219609,12.2662772400997,985.326541872624,1450.78624672379,29.2058879814559
5,Bretagne,0.787947570279759,10.0152434493093,939.713438032226,643.347052868364,10.0967473340581
6,Bretagne,0.570687908108975,11.3127283211751,984.339385230553,1185.38270632373,18.5044274361735
7,Bretagne,0.810759179407578,7.93760458119449,987.457514088792,895.728636960197,7.68983476684773
8,Bretagne,0.514297336772275,11.357589920453,1515.48222852204,912.2047339818,26.6704516449405
9,Bretagne,0.746364925053394,11.5057326532839,1452.4727442447,495.207252331814,10.0133960778792
10,Bretagne,0.591854365378175,9.97191206478118,1290.75589599294,786.366741671638,17.3941451339872
1,Occitanie,0.605629331778514,1.29739735179207,117.370346183214,1691.82907392121,62.1013971982408
