rep,id,eta_b1,eta_Dq,eta_E0,eta_betat1
1,Normandie,-0.102539447331511,1.36860056021317,0.975241033028846,0
2,Normandie,-0.038921138383026,1.16238421478325,0.576458846101444,0
3,Normandie,-0.0702510106632597,1.15665343990915,0.814085385024823,0
4,Normandie,-0.0786680112416351,1.45756429506197,0.817493160792444,0
5,Normandie,-0.0778546789408709,1.4152945962635,0.831973950006448,0
6,Normandie,-0.0790769254053068,1.24048998717249,0.787366018736341,0
7,Normandie,-0.067320499169308,1.37029888250543,0.732536337391041,0
8,Normandie,-0.0952184831804633,1.22572601822226,0.792813962191593,0
9,Normandie,-0.132680763772557,1.40714093483636,1.10092447414339,0
10,Normandie,-0.0831073964537831,1.4123981756119,0.837667700268329,0
1,HDF,-0.169749710881207,0.862087619793991,0.517015224251068,0
2,HDF,-0.142323619045069,0.967911729778492,0.336669854625406,0
3,HDF,-0.141329669377077,0.842786113381956,0.209298597539954,0
4,HDF,-0.129857368794904,0.721138870233604,-0.0439522427092224,0
5,HDF,-0.145603894609709,0.872043232504198,0.430915346190913,0
6,HDF,-0.146001044697932,0.831697669251209,0.245316582426164,0
7,HDF,-0.118894395871176,0.903578142473677,-0.0744484632344855,0
8,HDF,-0.133143714006672,0.869693019184151,0.183071166169713,0
9,HDF,-0.144342195772021,0.745222075647487,0.371588440053443,0
10,HDF,-0.160038048384966,0.796000795258139,0.564601417570216,0
1,GrandEst,0.0114411898543962,0.642893458615533,1.08448611726425,0
2,GrandEst,0.00336470547541179,0.614610594784359,1.10712541049547,0
3,GrandEst,0.0218783186818575,0.639497687133406,1.01672219071828,0
4,GrandEst,0.0216379152661166,0.623285972027114,1.02990657718911,0
5,GrandEst,0.00382990024153158,0.645681803587252,1.11191133578698,0
6,GrandEst,0.0231018904420507,0.592226992200978,1.03879198229481,0
7,GrandEst,0.00478411164208271,0.714368431862846,1.10744774948635,0
8,GrandEst,0.0235264892987273,0.632534190063716,1.02660569251315,0
9,GrandEst,0.0173029550280072,0.715281576504465,1.06714189877079,0
10,GrandEst,0.0197894440454525,0.654988566767525,1.0361869894266,0
1,PaysLoire,-0.0423097296999675,-3.40497877509336,0.322261773277902,0
2,PaysLoire,-0.029374046922326,-3.22147324264755,0.195063501121288,0
3,PaysLoire,-0.0364892211026558,-2.38239215255142,0.257463244189414,0
4,PaysLoire,-0.0224800125510007,-3.24753777937013,0.0916522681158484,0
5,PaysLoire,0.0606870889455523,-3.98829100736113,-0.666041500799713,0
6,PaysLoire,-0.0109339782939726,-3.411471530319,0.0669217804609465,0
7,PaysLoire,0.0199494174004505,-3.87150754366248,-0.0648211127318573,0
8,PaysLoire,-0.00307095581390691,-3.0710055096883,0.0653215474237689,0
9,PaysLoire,0.0220586413273906,-3.98076668906483,-0.143778267521005,0
10,PaysLoire,0.0656762690580988,-3.42491159731516,-0.888051154034346,0
1,Bretagne,-0.184888835615617,0.233380661858103,-0.20412094696649,0
2,Bretagne,-0.148850024428973,0.497690825861704,-0.405966686170462,0
3,Bretagne,-0.19837442852186,0.654073839034971,-0.0499090510825642,0
4,Bretagne,-0.213707839062476,0.425783578030793,0.263476616810129,0
5,Bretagne,-0.165020204436443,0.647632662202991,-0.270255822757154,0
6,Bretagne,-0.152447536795855,0.830845011305355,-0.213752061844411,0
7,Bretagne,-0.15540395318877,0.541289113855599,-0.357405680794273,0
8,Bretagne,-0.180971013285658,0.360257982633394,-0.0533288083929754,0
9,Bretagne,-0.177256118696555,0.822101027140796,0.074583053181062,0
10,Bretagne,-0.200943250817939,0.673434491528611,0.117670075018836,0
1,Occitanie,-0.0499485947638227,0.152141126471847,0.223328346398524,0
2,Occitanie,-0.00325391990563108,-0.0117675005338993,-0.0124290464544859,0
3,Occitanie,-0.00400419735580789,-0.17202219557854,-0.00749342278237636,0
4,Occitanie,-0.0192257156937194,-0.172905261396003,0.107217797342197,0
5,Occitanie,-0.0241901126170623,-0.151736957912202,0.17173029758715,0
6,Occitanie,-0.0162486127383434,-0.0319336124051756,0.0328881899083157,0
7,Occitanie,-0.0154071133470878,-0.220919264178652,0.023125366732276,0
8,Occitanie,-0.0599877175914058,-0.157788045948364,0.276689542681158,0
9,Occitanie,-0.0150919693629143,-0.155152861333293,0.0213285015149363,0
10,Occitanie,-0.0418665852859487,-0.109952557035996,0.237361093580313,0
1,PACA,0.00314543129922706,-0.0564422887800439,-0.0651061976773513,0
2,PACA,0.0287705069630558,0.0490595763089607,-0.253948421776419,0
3,PACA,0.0470006168672516,-0.1228801905045,-0.322405507100107,0
4,PACA,0.0184741739350597,-0.223007048016883,-0.193975020913052,0
5,PACA,0.0295331092027818,-0.171568925520047,-0.293612251125744,0
6,PACA,0.0123886610244992,-0.169920654744557,-0.11426285827244,0
7,PACA,0.0357750400038951,-0.288017850590874,-0.260566298144237,0
8,PACA,0.0198621102258928,-0.23990278438075,-0.17243476845873,0
9,PACA,0.0238575690311019,-0.0832848418532911,-0.130397986101808,0
10,PACA,0.0330230942546974,-0.212806252856885,-0.206370106012089,0
